doi,article,model,sample_size,study_type,model_type,auc,auc_ci,sens,sens_ci,spec,spec_ci,roc,roc_colour,roc_panel,exclude,from_rand_order
10.1001_jamaoto.2025.4694,1,1,278,development,diagnostic,0.867,yes,76,yes,80.09,yes,no,na,na,na,no
10.1001_jamaoto.2025.4694,1,2,278,development,diagnostic,0.86,yes,76.63,yes,76.6,yes,no,na,na,na,no
10.1001_jamaoto.2025.4694,1,3,278,development,diagnostic,0.9,yes,85.22,yes,86.97,yes,no,na,na,na,no
10.1001_jamaoto.2025.4694,1,4,278,development,diagnostic,0.84,yes,82.55,yes,75.59,yes,no,na,na,na,no
10.1001_jamaoto.2025.4694,1,5,278,development,diagnostic,0.83,yes,77.19,yes,73.12,yes,no,na,na,na,no
10.1001_jamaoto.2025.4694,1,6,278,development,diagnostic,0.87,yes,81.52,yes,80.73,yes,no,na,na,na,no
10.1001_jamaoto.2025.4694,1,7,278,development,diagnostic,0.92,yes,89.9,yes,83.74,yes,no,na,na,na,no
10.1001_jamaoto.2025.4694,1,8,278,development,diagnostic,0.59,yes,51.43,yes,65.71,yes,no,na,na,na,no
10.1001_jamaoto.2025.4694,1,9,278,development,diagnostic,0.62,yes,55.72,yes,68.57,yes,no,na,na,na,no
10.1001_jamaoto.2025.4694,1,10,278,development,diagnostic,0.61,yes,42.86,yes,78.57,yes,no,na,na,na,no
10.1001_jamaoto.2025.4694,1,11,278,development,diagnostic,0.6,yes,55.71,yes,65,yes,no,na,na,na,no
10.1001_jamaoto.2025.4694,1,12,278,development,diagnostic,0.6,yes,56.43,yes,62.86,yes,no,na,na,na,no
10.1001_jamaoto.2025.4694,1,13,278,development,diagnostic,0.6,yes,47.86,yes,71.43,yes,no,na,na,na,no
10.1001_jamaoto.2025.4694,1,14,278,development,diagnostic,0.6,yes,55,yes,64.29,yes,no,na,na,na,no
10.1002_1878-0261.70084,2,1,758,development,diagnostic,0.789,no,na,na,na,na,yes,blue,1,na,no
10.1002_1878-0261.70084,2,2,758,development,diagnostic,0.789,no,na,na,na,na,yes,blue,1,na,no
10.1002_1878-0261.70084,2,3,758,development,diagnostic,0.851,no,na,na,na,na,yes,blue,1,na,no
10.1002_1878-0261.70084,2,4,758,development,diagnostic,0.75,no,na,na,na,na,yes,blue,1,na,no
10.1002_1878-0261.70084,2,5,758,development,diagnostic,0.501,no,na,na,na,na,yes,grey,1,na,no
10.1002_1878-0261.70084,2,6,758,development,diagnostic,0.813,no,na,na,na,na,yes,blue,1,na,no
10.1002_1878-0261.70084,2,7,758,development,diagnostic,0.864,no,na,na,na,na,yes,blue,1,na,no
10.1002_1878-0261.70084,2,8,758,development,diagnostic,0.606,no,na,na,na,na,yes,grey,1,na,no
10.1002_1878-0261.70084,2,9,758,development,diagnostic,0.879,no,na,na,na,na,yes,blue,1,na,no
10.1002_1878-0261.70084,2,10,758,development,diagnostic,0.601,no,na,na,na,na,yes,grey,1,na,no
10.1002_1878-0261.70084,2,11,758,development,diagnostic,0.617,no,na,na,na,na,yes,grey,1,na,no
10.1002_1878-0261.70084,2,12,758,development,diagnostic,0.613,no,na,na,na,na,yes,grey,1,na,no
10.1002_1878-0261.70084,2,13,758,development,diagnostic,0.774,no,na,na,na,na,yes,blue,1,na,no
10.1002_1878-0261.70084,2,14,758,development,diagnostic,0.523,no,na,na,na,na,yes,grey,1,na,no
