doi,article,model,sample_size,study_type,model_type,auc,auc_lower,auc_upper,sens,sens_lower,sens_upper,spec,spec_lower,spec_upper,roc,roc_colour,roc_panel
10.1002_jmri.29390,1,1,107,development,prognostic,0.711,0.607,0.815,0.618,na,na,0.685,na,na,yes,green,a
10.1002_jmri.29390,1,5,46,validation,prognostic,0.738,0.57,0.905,0.429,na,na,0.969,na,na,yes,green,b
10.1002_jmri.29390,1,9,51,validation,prognostic,0.729,0.583,0.874,0.875,na,na,0.514,na,na,yes,green,c
10.1002_jmri.29390,1,2,107,development,prognostic,0.836,0.748,0.924,0.706,na,na,0.89,na,na,yes,blue,a
10.1002_jmri.29390,1,6,46,validation,prognostic,0.739,0.57,0.908,0.857,na,na,0.625,na,na,yes,blue,b
10.1002_jmri.29390,1,10,51,validation,prognostic,0.657,0.486,0.828,0.5,na,na,0.857,na,na,yes,blue,c
10.1002_jmri.29390,1,3,107,development,prognostic,0.857,0.781,0.934,0.735,na,na,0.849,na,na,yes,purple,a
10.1002_jmri.29390,1,7,46,validation,prognostic,0.839,0.723,0.955,0.714,na,na,0.844,na,na,yes,purple,b
10.1002_jmri.29390,1,11,51,validation,prognostic,0.768,0.631,0.904,0.75,na,na,0.686,na,na,yes,purple,c
10.1002_jmri.29390,1,4,107,development,prognostic,0.946,0.908,0.984,0.941,na,na,0.863,na,na,yes,red,a
10.1002_jmri.29390,1,8,46,validation,prognostic,0.913,0.832,0.994,0.857,na,na,0.844,na,na,yes,red,b
10.1002_jmri.29390,1,12,51,validation,prognostic,0.859,0.759,0.959,0.812,na,na,0.829,na,na,yes,red,c
10.1007_s10238-024-01333-z,2,1,187,development,prognostic,0.7338,na,na,na,na,na,na,na,na,yes,blue,a
10.1016_j.ajt.2024.04.016,3,1,339,development,prognostic,0.8,0.74,0.87,na,na,na,na,na,na,yes,blue,a
10.1016_j.ajt.2024.04.016,3,2,339,development,prognostic,0.68,0.6,0.76,na,na,na,na,na,na,yes,red,a
10.1016_j.ajt.2024.04.016,3,3,339,development,prognostic,0.64,0.56,0.73,na,na,na,na,na,na,yes,green,a
10.1016_j.ajt.2024.04.016,3,4,339,development,prognostic,0.72,0.65,0.8,na,na,na,na,na,na,yes,yellow,a
10.1016_j.clinph.2024.03.033,4,1,110,development,diagnostic,0.76,na,na,0.582,na,na,0.957,na,na,yes,black,a
10.1016_j.clinph.2024.03.033,4,2,110,development,diagnostic,0.69,na,na,0.508,na,na,0.913,na,na,yes,black,b
10.1016_j.clinph.2024.03.033,4,3,110,development,diagnostic,0.89,na,na,0.857,na,na,0.873,na,na,yes,black,c
10.1016_j.clinph.2024.03.033,4,4,110,development,diagnostic,0.8,na,na,0.771,na,na,0.836,na,na,yes,black,d
10.1016_j.clinph.2024.03.033,4,5,110,development,diagnostic,0.91,na,na,0.886,na,na,0.891,na,na,yes,black,e
10.1016_j.clinph.2024.03.033,4,6,110,development,diagnostic,0.97,na,na,0.944,na,na,0.944,na,na,yes,black,f
10.1016_j.compbiomed.2024.108496,5,1,347,development,prognostic,0.999,na,na,0.987,na,na,0.997,na,na,no,na,na
10.1016_j.compbiomed.2024.108496,5,2,347,development,prognostic,0.534,na,na,1,na,na,1,na,na,no,na,na
10.1016_j.compbiomed.2024.108496,5,3,347,development,prognostic,0.998,na,na,1,na,na,0.986,na,na,no,na,na
10.1016_j.compbiomed.2024.108496,5,4,347,development,prognostic,0.847,na,na,0.867,na,na,0.789,na,na,no,na,na
10.1016_j.compbiomed.2024.108496,5,5,347,development,prognostic,0.815,na,na,0.661,na,na,0.969,na,na,no,na,na
10.1016_j.compbiomed.2024.108496,5,6,347,development,prognostic,0.998,na,na,0.982,na,na,1,na,na,no,na,na
10.1016_j.compbiomed.2024.108496,5,7,347,development,prognostic,0.563,na,na,1,na,na,1,na,na,no,na,na
10.1016_j.compbiomed.2024.108496,5,8,347,development,prognostic,0.998,na,na,1,na,na,0.997,na,na,no,na,na
10.1016_j.compbiomed.2024.108496,5,9,347,development,prognostic,0.841,na,na,0.839,na,na,0.814,na,na,no,na,na
10.1016_j.compbiomed.2024.108496,5,10,347,development,prognostic,0.703,na,na,0.877,na,na,0.371,na,na,no,na,na
10.1016_j.heliyon.2024.e29602,6,1,44,development,prognostic,0.8,na,na,na,na,na,na,na,na,yes,red,a
10.1016_j.heliyon.2024.e29602,6,2,44,development,prognostic,0.57,na,na,na,na,na,na,na,na,yes,green,a
10.1016_j.heliyon.2024.e29602,6,3,44,development,prognostic,0.76,na,na,na,na,na,na,na,na,yes,blue,a
10.1016_j.heliyon.2024.e30339,7,1,207,validation,diagnostic,0.797,na,na,0.921,na,na,0.672,na,na,yes,blue,a
10.1016_j.heliyon.2024.e30339,7,2,207,validation,diagnostic,0.598,na,na,0.3,na,na,0.896,na,na,yes,red,a
10.1016_j.ijnurstu.2024.104767,8,1,352,development,diagnostic,0.71,0.654,0.766,na,na,na,na,na,na,yes,red,a
10.1016_j.ijnurstu.2024.104767,8,2,80,validation,diagnostic,0.825,0.732,0.917,na,na,na,na,na,na,yes,red,b
10.1016_j.jacl.2024.04.130,9,1,5380,development,diagnostic,0.82,0.81,0.83,na,na,na,na,na,na,yes,red,a
10.1016_j.jacl.2024.04.130,9,2,5380,development,diagnostic,0.87,0.85,0.88,na,na,na,na,na,na,yes,blue,a
10.1016_j.jstrokecerebrovasdis.2024.107734,10,1,7041,development,diagnostic,0.721,na,na,0.783,na,na,0.7,na,na,yes,black,a
10.1016_j.psychres.2024.115896,11,1,6727,development,diagnostic,0.76,na,na,na,na,na,na,na,na,yes,blue,a
10.1016_j.psychres.2024.115896,11,2,6727,development,diagnostic,0.71,na,na,na,na,na,na,na,na,yes,blue,b
10.1016_j.psychres.2024.115896,11,3,6727,development,diagnostic,0.7,na,na,na,na,na,na,na,na,yes,blue,c
10.1016_j.psychres.2024.115896,11,4,6727,development,diagnostic,0.76,na,na,na,na,na,na,na,na,yes,blue,d
10.1016_j.spinee.2024.03.018,12,1,169,development,prognostic,0.758,0.613,0.903,0.857,na,na,0.718,na,na,yes,blue,a
10.1111_ejh.14218,13,1,196,development,prognostic,0.49,0.36,0.63,na,na,na,na,na,na,yes,red,a
10.1111_ejh.14218,13,2,196,development,prognostic,0.46,0.24,0.68,na,na,na,na,na,na,yes,red,b
10.1111_jce.16266,14,1,160,development,diagnostic,0.789,0.718,0.86,0.73,na,na,0.718,na,na,yes,blue,a
10.1177_19476035241244491,15,1,34,development,prognostic,0.203,na,na,na,na,na,na,na,na,no,na,na
10.1177_19476035241244491,15,2,34,development,prognostic,0.69,na,na,na,na,na,na,na,na,no,na,na
10.1177_19476035241244491,15,3,34,development,prognostic,0.693,na,na,na,na,na,na,na,na,no,na,na
10.1177_19476035241244491,15,4,34,development,prognostic,0.778,na,na,na,na,na,na,na,na,no,na,na
10.1177_19476035241244491,15,5,34,development,prognostic,0.76,na,na,na,na,na,na,na,na,no,na,na
10.1177_19476035241244491,15,6,34,development,prognostic,0.7,na,na,na,na,na,na,na,na,no,na,na
10.1177_19476035241244491,15,7,34,development,prognostic,0.62,na,na,na,na,na,na,na,na,no,na,na
10.1177_19476035241244491,15,8,34,development,prognostic,0.56,na,na,na,na,na,na,na,na,no,na,na
10.1177_19476035241244491,15,9,34,development,prognostic,0.52,na,na,na,na,na,na,na,na,no,na,na
10.1177_19476035241244491,15,10,34,development,prognostic,0.5,na,na,na,na,na,na,na,na,no,na,na
10.1177_19476035241244491,15,11,34,development,prognostic,0.5,na,na,na,na,na,na,na,na,no,na,na
10.1177_19476035241244491,15,12,34,development,prognostic,0.583,na,na,na,na,na,na,na,na,no,na,na
10.1177_19476035241244491,15,13,34,development,prognostic,0.667,na,na,na,na,na,na,na,na,no,na,na
10.1177_19476035241244491,15,14,34,development,prognostic,0.667,na,na,na,na,na,na,na,na,no,na,na
10.1177_19476035241244491,15,15,34,development,prognostic,0.611,na,na,na,na,na,na,na,na,no,na,na
10.1177_19476035241244491,15,16,34,development,prognostic,0.583,na,na,na,na,na,na,na,na,no,na,na
10.1177_19476035241244491,15,17,34,development,prognostic,0.528,na,na,na,na,na,na,na,na,no,na,na
10.1177_19476035241244491,15,18,34,development,prognostic,0.556,na,na,na,na,na,na,na,na,no,na,na
10.1186_s40644-024-00691-x,16,1,464,development,prognostic,0.72,na,na,na,na,na,na,na,na,yes,blue,a
10.1186_s40644-024-00691-x,16,2,464,development,prognostic,0.75,na,na,na,na,na,na,na,na,yes,blue,b
10.3389_fnut.2024.1368459,17,1,11883,development,prognostic,0.605,0.588,0.623,0.523,na,na,0.642,na,na,no,na,na
10.3389_fnut.2024.1368459,17,2,11883,development,prognostic,0.546,0.534,0.557,1,na,na,0.001,na,na,no,na,na
10.3389_fnut.2024.1368459,17,3,11883,development,prognostic,0.637,0.627,0.644,1,na,na,0.002,na,na,no,na,na
10.3389_fnut.2024.1368459,17,4,11883,development,prognostic,0.565,0.554,0.576,0.994,na,na,0.007,na,na,no,na,na
10.3389_fnut.2024.1368459,17,5,11883,development,prognostic,0.701,0.694,0.708,0.694,na,na,0.66,na,na,no,na,na
10.3389_fnut.2024.1368459,17,6,11883,development,prognostic,0.588,0.58,0.596,0.531,na,na,0.612,na,na,no,na,na
10.3389_fnut.2024.1368459,17,7,11883,development,prognostic,0.545,0.537,0.552,0.39,na,na,0.68,na,na,no,na,na
10.3389_fnut.2024.1368459,17,8,11883,development,prognostic,0.628,0.621,0.636,0.583,na,na,0.624,na,na,no,na,na
