"key","pmid","doi","pmc","title","abstract","epubdate","journal","affiliation"
1,"38692411","10.1016/j.ajt.2024.04.016",NA,"A novel scoring system to predict short-term mortality after living donor liver transplantation for acute liver failure.","Liver transplantation is often the only lifesaving option for acute liver failure (ALF); however, the predictors of short-term mortality (death within one year) after living donor liver transplantation (LDLT) for ALF have yet to be defined. We retrospectively collected patients ≥18 years old who underwent LDLT for ALF between 2010 and 2020 at 35 centers in Asia. Univariate and multivariate logistic regression analyses were conducted to identify the clinical variables related to short-term mortality and establish a novel scoring system. The Kaplan-Meier method was performed to explore the association between the score and overall survival. Of the 339 recipients, 46 (13.6%) died within 1 year after LDLT. Multivariate analyses revealed 4 independent risk factors for death: use of vasopressors or mechanical ventilation, the higher model for end-stage liver disease score, and a lower graft-to-recipient weight ratio. The internally validated c-statistic of the short-term mortality after transplant (SMT) score derived from these 4 variables was 0.80 (95% confidence interval: 0.74-0.87). The SMT score successfully stratified recipients into low-, intermediate-, and high-risk groups with 1-year overall survival rates of 96%, 80%, and 50%, respectively. In conclusion, our novel SMT score based on 4 predictors will guide ALF recipient and living donor selection.","20240429","American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons","Department of Pediatric Surgery and Transplantation, Kumamoto University Graduate School of Medical Sciences, Kumamoto University, Kumamoto, Japan."
2,"38657466","10.1016/j.compbiomed.2024.108496",NA,"Deep learning and machine learning approaches to classify stomach distant metastatic tumors using DNA methylation profiles.","Distant metastasis of cancer is a significant contributor to cancer-related complications, and early identification of unidentified stomach adenocarcinoma is crucial for a positive prognosis. Changes inDNA methylation are being increasingly recognized as a crucial factor in predicting cancer progression. Within this research, we developed machine learning and deep learning models for distinguishing distant metastasis in samples of stomach adenocarcinoma based on DNA methylation profile. Employing deep neural networks (DNN), support vector machines (SVM), random forest (RF), Naive Bayes (NB) and decision tree (DT), and models for forecasting distant metastasis in stomach adenocarcinoma. The results show that the performance of DNN is better than that of other models, AUC and AUPR achieving 99.9 % and 99.5 % respectively. Additionally, a weighted random sampling technique was utilized to address the issue of imbalanced datasets, enabling the identification of crucial methylation markers associated with functionally significant genes in stomach distant metastasis tumors with greater performance.","20240422","Computers in biology and medicine","Department of Medical Oncology, The First Hospital of China Medical University, Shenyang, China."
3,"38721351","10.3389/fmed.2024.1359414","PMC11076824","Diagnostic accuracy of circulating miRNAs to discriminate hepatocellular carcinoma from liver cirrhosis: a systematic review and meta-analysis.","Hepatocellular carcinoma (HCC) and liver cirrhosis (LC) stand as the primary causes of global mortality. Given their profound impact, the development of highly sensitive and specific circulating diagnostic markers becomes imperative to effectively identify and differentiate between cirrhosis and HCC. Accurate diagnosis is paramount in guiding appropriate therapeutic interventions. Hence, this study aimed to evaluate the potential of microRNAs (miRNAs) in discerning between HCC and LC. This study followed the Preferred Reporting Items for Systematic Review and Meta-Analysis (PRISMA) guidelines, with the protocol officially registered on PROSPERO under the reference number CRD42023417494. A thorough search across multiple databases like PubMed, Embase, Scopus, Wiley Online Library, and Science Direct was conducted to identify relevant studies published from January 1, 2018, to August 10, 2023. The included studies underwent methodological quality assessment using the Quality Assessment of Diagnostic Accuracy Studies 2 (QADAS-2) tool. The synthesis of pooled sensitivity, specificity, and other relevant diagnostic parameters employed a random-effects model and was conducted using Stata 14.0. Heterogeneity was assessed using I2 and Cochrane Q, with subsequent subgroup analysis and meta-regression performed to identify potential sources of observed heterogeneity. A sensitivity analysis was performed to assess the resilience of the findings. Furthermore, Deeks' funnel plot was employed to evaluate publication bias. In this meta-analysis, we included fifteen publications, encompassing 787 HCC patients and 784 LC patients. The combined sensitivity, specificity, positive likelihood ratio (PLR), negative likelihood ratio (NLR), diagnostic odds ratio (DOR), and area under the curve (AUC) values of miRNAs in differentiating HCC from LC were 0.84 (95% CI: 0.78-0.88), 0.79 (95% CI: 0.73-0.84), 3.9 (95% CI: 3.0-5.2), 0.21 (95% CI: 0.14-0.29), 19.44 (95% CI: 11-34), and 0.88 (95% CI: 0.85-0.91), respectively. The results of the subgroup analysis revealed that upregulated miRNA levels and miRNA assessments specifically for individuals of European descent exhibited superior diagnostic performance. The results of this study suggested that circulating miRNAs, especially those that are upregulated, have the potential to function as robust and promising biomarkers in the differentiation of HCC from LC. https://www.crd.york.ac.uk/prospero/display_record.php?ID=CRD42023475954.","20240424","Frontiers in medicine","Department of Medical Laboratory Sciences, College of Medicine and Health Sciences, Wollo University, Dessie, Ethiopia."
4,"38610802","10.3390/jcm13072037","PMC11012331","Elevated Leukocyte Glucose Index Is Associated with Long-Term Arteriovenous Fistula Failure in Dialysis Patients.","(1) Background: Arteriovenous fistula (AVF) is the preferred type of vascular access for dialysis in patients with end-stage kidney disease (ESKD). However, the primary patency of AVF at one year is under 70% due to several risk factors and comorbidities. Leukocyte glucose index (LGI), a new biomarker based on blood leukocytes and glucose values, has been found to be associated with poor outcomes in cardiovascular disease. The aim of this study is to analyze the impact of LGI on the long-term primary patency of AVF following dialysis initiation. (2) Methods: We conducted a retrospective observational study in which we initially enrolled 158 patients with ESKD admitted to the Vascular Surgery Department of the Emergency County Hospital of Targu Mures, Romania, to surgically create an AVF for dialysis between January 2020 and July 2023. The primary endpoint was AVF failure, defined as the impossibility of performing a chronic dialysis session due to severe restenosis or AVF thrombosis. After follow-up, we categorized patients into two groups based on their AVF status: ""functional AVF"" for those with a permeable AVF and ""AVF failure"" for those with vascular access dysfunction. (3) Results: Patients with AVF failure had a higher prevalence of atrial fibrillation (p = 0.013) and diabetes (p = 0.028), as well as a higher LGI value (1.12 vs. 0.79, p < 0.001). At ROC analysis, LGI had the strongest association with the outcome, with an AUC of 0.729, and an optimal cut-off value of 0.95 (72.4% sensitivity and 68% specificity). In Kaplan-Meier survival analyses, patients in the highest tertile (T3) of LGI had a significantly higher incidence of AVF failure compared to those in tertile 1 (p = 0.019). Moreover, we found that patients with higher baseline LGI values had a significantly higher risk of AVF failure during follow-up (HR: 1.48, p = 0.003). The association is independent of age and sex (HR: 1.65, p = 0.001), cardiovascular risk factors (HR: 1.63, p = 0.012), and pre-operative vascular mapping determinations (HR: 3.49, p = 0.037). (4) Conclusions: In conclusion, high preoperative values of LGI are positively associated with long-term AVF failure. The prognostic role of the biomarker was independent of age, sex, cardiovascular risk factors, and pre-operative vascular mapping determinations.","20240401","Journal of clinical medicine","Department of Vascular Surgery, George Emil Palade University of Medicine, Pharmacy, Science and Technology of Targu Mures, 540139 Targu Mures, Romania."
5,"38578316","10.1007/s10238-024-01333-z","PMC10997538","Low platelet count at diagnosis of anti-neutrophil cytoplasmic antibody-associated vasculitis is correlated with the severity of disease and renal prognosis.","Antineutrophil cytoplasmic antibody-associated vasculitis (AAV) is an autoimmune disease that involves inflammation of blood vessels. There is increasing evidence that platelets play a crucial role not only in hemostasis but also in inflammation and innate immunity. In this study, we explored the relationship between platelet count, clinical characteristics, and the prognosis of patients with AAV. We divided 187 patients into two groups based on their platelet count. Clinicopathological data and prognostic information were retrospectively gathered from medical records. Univariate and multivariate regression analyses were used to identify risk factors for prognosis, including end-stage renal disease (ESRD) and mortality. The cutoff point for platelet count was set at 264.5 × 109/L, as determined by the receiver operating characteristic (ROC) curve for predicting progression to ESRD in patients with AAV. We observed patients with low platelet count (platelets < 264.5 × 109/L) had lower leukocytes, hemoglobin, complement, acute reactants, and worse renal function (P for eGFR < 0.001). They were also more likely to progress to ESRD or death compared to the high platelet count group (platelets > 264.5 × 109/L) (P < 0.0001, P = 0.0338, respectively). Low platelet count was potentially an independent predictor of poor renal prognosis in the multivariate regression analysis [HR 1.670 (95% CI 1.019-2.515), P = 0.014]. Lower platelet count at diagnosis is associated with more severe clinical characteristics and impaired renal function. Therefore, platelet count may be an accessible prognostic indicator for renal outcomes in patients with AAV.","20240405","Clinical and experimental medicine","Department of Nephrology, Xiangya Hospital, Central South University, No.87 Xiangya Road, Kaifu District, Changsha, Hunan, China."
6,"38654526","10.1111/ejh.14218",NA,"Evaluation of soluble P-selectin as a predictive biomarker in acute symptomatic pulmonary embolism: Insights from a prospective observational study.","Soluble P-selectin (sP-selectin) has been proposed as a potential biomarker for venous thromboembolism (VTE) diagnosis with interesting results. However, its role in predicting early mortality in pulmonary embolism (PE) remains unexplored. This observational, prospective, single-center study enrolled consecutive patients aged 18 or older with confirmed acute symptomatic PE and no prior anticoagulation. The study aims to assess the prognostic capacity of sP-selectin measured at the time of PE diagnosis for short-term mortality and major bleeding. A total of 196 patients, with a mean age of 69.1 years (SD 17), were included, of whom 52.6% were male. Within 30 days, 9.7% of patients (n = 19) died, and 5.1% (n = 10) suffered major bleeding. PE risk stratification revealed 4.6% (n = 9) with high-risk PE, 34.7% (n = 68) with intermediate-high-risk PE, 38.3% (n = 75) with intermediate-low-risk PE, and 22.5% (n = 44) with low-risk PE according to the European Society of Cardiology score. Mean plasma sP-selectin levels were comparable between survivors and non-survivors (489.7 ng/mL ±63 vs. 497.3 ng/mL ±51; p = .9). The ROC curve for 30-day all-cause mortality and major bleeding yielded an AUC of 0.49 (95% CI 0.36-0.63) and 0.46 (95% CI 0.24-0.68), respectively. Multivariate and survival analyses were precluded due to lack of significance. sP-selectin was not useful for predicting short-term mortality or major bleeding in patients with acute symptomatic pulmonary embolism. Further studies are required to clarify the role of sP-selectin in VTE, particularly in prognosticating PE outcomes.","20240423","European journal of haematology","Venous Thromboembolism Unit. Internal Medicine Department, General University Hospital Gregorio Marañón, Madrid, Spain."
7,"38642482","10.1016/j.clinph.2024.03.033",NA,"Predictive value of Blink reflex and facial corticobulbar motor evoked potential in cerebellopontine angle tumor surgery.","The current study examined the efficacy of the facial corticobulbar motor evoked potentials (FCoMEPs) and blink reflex (BR) on predicting postoperative facial nerve function during cerebellopontine angle (CPA) tumor surgery. Data from 110 patients who underwent CPA tumor resection with intraoperative FCoMEPs and BR monitoring were retrospectively reviewed. The association between the amplitude reduction ratios of FCoMEPs and BR at the end of surgery and postoperative facial nerve function was determined. Subsequently, the optimal threshold of FCoMEPs and BR for predicting postoperative facial nerve dysfunction were determined by receiver operating characteristic curve analysis. Valid BR was record in 103 of 110 patients, whereas only 43 patients successfully recorded FCoMEP in orbicularis oculi muscle. A reduction over 50.3% in FCoMEP (O. oris) amplitude was identified as a predictor of postoperative facial nerve dysfunction (sensitivity, 77.1%; specificity, 83.6%). BR was another independent predictor of postoperative facial nerve deficit with excellent predictive performance, especially eyelid closure function. Its optimal cut-off value for predicting long-term postoperative eyelid closure dysfunction was was 51.0% (sensitivity, 94.4%; specificity, 94.4%). BR can compensate for the deficiencies of the FCoMEPs. The combination of BR and FCoMEPs can be used in CPA tumor surgery. The study first proposed an optimal cut-off value of BR amplitude deterioration (50.0%) for predicting postoperative eyelid closure deficits in patients undergoing CPA tumor surgery.","20240404","Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology","Department of Neurophysiology, Beijing Neurosurgical Institute, Capital Medical University, Beijing 100070, China."
8,"38566263","10.1111/odi.14950",NA,"Impact of preoperative haemoglobin, albumin, lymphocyte, and platelet score on oral cancer prognosis.","To evaluate the preoperative haemoglobin, albumin, lymphocyte, and platelet score as a prognostic indicator in oral squamous cell carcinoma treated by radical surgery. Patients (83 men, 32 women; 65.80 ± 11.47 years) who underwent radical surgery between 2012 and 2022 were included. Factors affecting overall survival and disease-free survival according to the haemoglobin, albumin, lymphocyte, and platelet score were examined. Patients were categorised into low- and high-score groups using optimal cut-off values obtained from receiver operating characteristic curve analysis. The low-score group had poorer overall and disease-free survival (p < 0.001 each). Multivariate analysis identified alcohol consumption (hazard ratio [HR], 3.83; 95% confidence interval [CI]: 1.56-9.41, p = 0.003); vascular invasion (HR, 3.97; 95% CI: 1.60-9.85, p = 0.003); and the haemoglobin, albumin, lymphocyte, and platelet score (HR, 0.39; 95% CI: 0.20-0.78, p = 0.007) as independent prognostic factors for overall survival and vascular (HR, 3.66; 95% CI: 1.79-7.50, p < 0.001) and lymphovascular (HR, 2.44; 95% CI: 1.36-4.41, p = 0.003) invasion as independent prognostic factors for disease-free survival. The preoperative haemoglobin, albumin, lymphocyte, and platelet score may be a significant prognostic factor for patients with oral squamous cell carcinoma undergoing radical surgery.","20240402","Oral diseases","Department of Oral and Maxillofacial Surgery, School of Dentistry, Aichi-Gakuin University, Nagoya, Japan."
9,"38613220","10.1177/19476035241244491","PMC11569683","Magnetic Resonance Observation of Cartilage Repair Tissue (MOCART) Scores > 55 at 6 Months Postoperative Predict Ability to Achieve Patient Acceptable Symptomatic State at Minimum 1 Year Postoperative Following Autologous Chondrocyte Implantation for Grade IV Chondral Defects About the Patellofemoral Joint.","The primary aim is to evaluate the relationship between MOCART scores and patient satisfaction, as evaluated by achievement of (1) the Patient Acceptable Symptomatic State (PASS) and (2) the minimal clinically important difference (MCID) for Knee Injury and Osteoarthritis Score Quality of Life (KOOS QoL), for patients undergoing autologous chondrocyte implantation (ACI) for focal Grade IV patellofemoral chondral defects. The secondary aim is to determine the threshold MOCART score which predicts the ability to meet the PASS and the MCID for KOOS QoL. Patients undergoing ACI for grade IV patellofemoral chondral defects by a single surgeon from 2017 to 2020 were identified by search of the EMR. To determine PASS status, patients were asked, ""Do you consider your current level of symptoms to be acceptable?"" KOOS QoL scores were also collected. Patients with 6-month postoperative knee MRI, PASS scores, and minimum 2-year follow-up data were included. Paired t tests and Wilcoxon Rank-Sum tests were used to evaluate the relationship between MOCART scores and (1) PASS achievement and (2) achievement of the MCID for KOOS QoL (12.8). Thirty-four patients were included, with a median age of 35.1 years [IQR: 24.6, 37.1], and BMI of 24.0 kg/m2 [IQR: 21.5, 28.1]. The median time to postoperative MRI was 6.7 months [IQR: 5.8, 7.9], and average follow-up time was 3.7 ± 1.2 years. Twenty-five patients (74%) achieved PASS, and 18 patients (out of 27 who had postop KOOS QoL Scores, 67%) achieved the MCID for KOOS QoL. Patients who achieved PASS had higher average MOCART scores (61.8 ± 16.0) than those who did not achieve PASS (45.0 ± 12.8, p=0.011), whereas patients who achieved the MCID for KOOS QoL did not have higher MOCART scores than those who did not achieve the MCID (61.9 ± 18.3 versus 53.3 ± 17.1, P = 0.25). There was no relationship between age, sex, lesion size, and lesion location and ability to achieve PASS or MCID for KOOS QoL (p>0.05). A threshold MOCART value of 55 was associated with the highest AUC on ROC analysis for likelihood of achieving PASS (0.778) and MCID for KOOS QoL (0.667). Higher MOCART scores are associated with an increased likelihood of achieving PASS following patellofemoral ACI. Moreover, MOCART scores > 55 predict the ability to achieve PASS and the MCID for KOOS QoL following patellofemoral ACI. IV.","20240413","Cartilage","Hospital for Special Surgery, Sports Medicine Institute, New York, NY, USA."
10,"38720717","10.1016/j.heliyon.2024.e30268","PMC11076975","Pancreatic mucinous adenocarcinoma has different clinical characteristics and better prognosis compared to non-specific PDAC: A retrospective observational study.","Pancreatic mucinous adenocarcinoma (PMAC) is a rare malignant tumour, and there is limited understanding of its epidemiology and prognosis. Initially, PMAC was considered a metastatic manifestation of other cancers; however, instances of non-metastatic PMAC have been documented through monitoring, epidemiological studies, and data from the Surveillance, Epidemiology, and End Results (SEER) database. Therefore, it is crucial to investigate the epidemiological characteristics of PMAC and discern the prognostic differences between PMAC and the more prevalent pancreatic ductal adenocarcinoma (PDAC). The study used data from the SEER database from 2000 to 2018 to identify patients diagnosed with PMAC or PDAC. To ensure comparable demographic characteristics between PDAC and PMAC, propensity score matching was employed. Kaplan-Meier analysis was used to analyse overall survival (OS) and cancer-specific survival (CSS). Univariate and multivariate Cox regression analyses were used to determine independent risk factors influencing OS and CSS. Additionally, the construction and validation of risk-scoring models for OS and CSS were achieved through the least absolute shrinkage and selection operator-Cox regression technique. The SEER database included 84,857 patients with PDAC and 3345 patients with PMAC. Notably, significant distinctions were observed in the distribution of tumour sites, diagnosis time, use of radiotherapy and chemotherapy, tumour size, grading, and staging between the two groups. The prognosis exhibited notable improvement among married individuals, those receiving acceptable chemotherapy, and those with focal PMAC (p < 0.05). Conversely, patients with elevated log odds of positive lymph node scores or higher pathological grades in the pancreatic tail exhibited a more unfavourable prognosis (p < 0.05). The risk-scoring models for OS or CSS based on prognostic factors indicated a significantly lower prognosis for high-risk patients compared to their low-risk counterparts (area under the curve OS: 0.81-0.82, CSS: 0.80-0.82). PMAC exhibits distinct clinical characteristics compared to non-specific PDAC. Leveraging these features and pathological classifications allows for accurate prognostication of PMAC or PDAC.","20240426","Heliyon","Clinical Nursing Teaching and Research Section, Second Xiangya Hospital, Central South University, Hunan, China."
