"","title","doi"
"1","Wrist rotation metrics as digital biomarkers for detecting physio-cognitive decline syndrome in older adults.","10.1016/j.exger.2025.112766"
"2","A Clinically Inspired Deep Learning Framework for Laryngeal Cancer Detection and Malignancy Transformation Risk Assessment.","10.1002/ohn.70075"
"3","Integrated clinicopathological-radiomic-blood model for glioma survival prediction via machine learning: a multicenter cohort study.","10.1007/s10143-025-03719-3"
"4","Integrated metabolomics and proteomics to screen early diagnostic biomarkers of venous thromboembolism following severe trauma: A retrospective study.","10.1016/j.injury.2025.112934"
"5","An integrated optimization and deep learning pipeline for predicting live birth success in IVF using feature optimization and transformer-based models.","10.1016/j.cmpb.2025.108979"
"6","Predictive value of biomarker signatures for suicide risk in hospitalised patients with major depressive disorders: a multicentre study in Shanghai.","10.1136/gpsych-2024-101957"
"7","Immune-related biochemical markers and 20-year incidence of atherosclerotic cardiovascular disease: the ATTICA study (2002-2022).","10.1016/j.atherosclerosis.2025.119212"
"8","Bypassing the Delay: Directing Pediatric Intussusception Cases to the OR Through Inflammatory Marker Assessment.","10.1002/wjs.12586"
"9","Developing risk prediction models for type 2 diabetes and assessing the role of circulating metabolic biomarkers in five independent Finnish cohorts with over 22,000 individuals.","10.1016/j.jclinepi.2025.111978"
"10","Prediction model and scoring system for in-hospital mortality risk in infants with heart failure aged 1-36 months: A retrospective case-control study.","10.1016/j.heliyon.2025.e42110"
"11","Does the SCOPE (Sclerosing Cholangitis Outcomes in PEdiatrics) index effectively predict later liver transplantation in children with sclerosing cholangitis?","10.1016/j.dld.2025.03.021"
"12","Validation of MitraScore in diverse mitral regurgitation subtypes: Insights from the OCEAN-mitral registry.","10.1016/j.ijcard.2025.133427"
"13","Bacteroides uniformis-generated hexadecanedioic acid ameliorates metabolic-associated fatty liver disease.","10.1080/19490976.2025.2508433"
"14","Development and Validation of a 7-Day Postoperative Sleep Disturbance Predictive Nomogram in Non-Cardiovascular Surgical Patients: A Prospective Cohort Study of 3851 Adults.","10.2147/NSS.S536630"
"15","Circulating urobilinogen augments inflammation and corticosteroid non-response in severe alcohol-induced hepatitis.","10.1016/j.ymthe.2025.06.041"
"16","Application of the 2HELPS2B score with short-duration EEG for seizure prediction in acute impaired consciousness: A multicenter study.","10.1016/j.jns.2025.125665"
"17","High-grade glioma: combined use of 5-aminolevulinic acid and intraoperative ultrasound for resection and a predictor algorithm for detection.","10.3171/2024.12.JNS242496"
"18","Predicting macrolide resistance in pediatric Mycoplasma pneumoniae pneumonia: A machine learning modeling study.","10.1007/s10096-025-05354-8"
"19","Integrated radiomics and deep learning model for identifying medullary sponge kidney stones.","10.3389/fmed.2025.1623850"
"20","Protect the pituitary stalks in craniopharyngioma resection by endoscopic endonasal approach.","10.1007/s40618-025-02616-2"
"21","Multi-level patterns predict cannabis use onset among youth.","10.1016/j.dcn.2025.101639"
"22","The Vellore Pain Impact Questionnaire (V-PIQ): Initial validation of a tool for assessing the impact of low back pain based on the brief ICF core set.","10.1177/02692155251337570"
"23","The impact of inflammatory markers on clinical outcomes in acute ischemic stroke patients following mechanical thrombectomy: A multicentre study.","10.1016/j.jns.2025.123587"
"24","Development and Validation of a Pathomics-Based Prognostic Model for Patients with Lung Adenocarcinoma Undergoing First-Line EGFR-TKI Therapy.","10.1245/s10434-025-17656-4"
"25","New composite phenotypes enhance chronic kidney disease classification and genetic associations.","10.1371/journal.pgen.1011718"
"26","Early response to vunakizumab and its baseline predictors in patients with moderate-to-severe plaque psoriasis: a post hoc analysis of a phase-III trial.","10.1080/09546634.2025.2564810"
"27","Host-derived Delta-like Canonical Notch ligand-1 in sepsis and septic shock: Infection site, pathogens and disease severity matter - Secondary analysis of data from a randomized controlled trial.","10.1016/j.jinf.2025.106458"
"28","Toxicophore-informed machine learning integrating Tox21 assay readouts for organ system-specific carcinogenicity prediction.","10.1016/j.envpol.2025.127519"
"29","Validation of a Novel Computational Fluid Dynamics Based Method for Assessing Intracoronary Flow: Combining Coronary Angiography and Fractional Flow Reserve.","10.1002/ccd.31498"
"30","Predicting Incident Type 2 Diabetes Using Wearable Activity and Polygenic Risk: A Survival-Modeling Study in All of Us.","10.1210/clinem/dgaf673"
"31","Validity and Discriminative Value of Activity Questionnaires in Youth with Type 1 Diabetes.","10.1159/000549282"
"32","The effect of pre-procedural anxiety level on the quality of upper GI endoscopy in non-sedated patients: ""can the need for sedation be predicted?"".","10.1177/17562848251333025"
"33","Association of Weight-Adjusted Waist Index with All-Cause and Cardiovascular Mortality in Patients with Chronic Obstructive Pulmonary Disease: A Retrospective Cohort Study.","10.2147/COPD.S545141"
"34","Time-resolved ADC analysis differentiates stable vs. progressive brain injury in post-cardiac arrest patients.","10.1016/j.resuscitation.2025.110837"
"35","3D-printed electrochemical loop-mediated isothermal amplification (E-LAMP): A miniaturized and portable platform to detect methicillin-resistant Staphylococcus aureus (MRSA).","10.1016/j.aca.2025.344455"
"36","Association between the body roundness index and female infertility: a cross-sectional study from NHANES.","10.3389/fendo.2025.1504878"
"37","Splenic switch-off in three-dimensional adenosine stress cardiac magnetic resonance perfusion for differentiating true-negative from potentially false-negative studies identified by fractional flow reserve.","10.1016/j.jocmr.2025.101933"
"38","Thrombospondin-2 is a performant biomarker of at-risk MASH and advanced MASH fibrosis in a large multicentre European cohort.","10.1136/gutjnl-2025-335598"
"39","A Deep Learning-Based Clinical Classification System for the Differential Diagnosis of Hip Prosthesis Failures Using Radiographs: A Multicenter Study.","10.2106/JBJS.24.01601"
"40","Impact of Pre-Suction Corneal Contact Area on Postoperative Refractive Outcomes in SMILE Surgery: A Retrospective Study.","10.2147/OPTH.S546189"
"41","How much information is needed to predict outcomes after cardiac arrest?","10.1016/j.resuscitation.2025.110775"
"42","Clinical Outcomes in a Multicenter Cohort Involving 919 Patients With Hypertriglyceridemia-Associated Acute Pancreatitis.","10.14309/ajg.0000000000003319"
"43","Enhanced diagnosis accuracy of tuberculous meningitis using mycolic and tuberculostearic acid via advanced mass spectrometry.","10.1016/j.jns.2025.123748"
"44","Predictive Model for Hypoglycaemia Risk in Type 2 Diabetes Mellitus Patients During the Peri-Colonoscopy Period: A Retrospective Cohort Study.","10.1111/jan.16806"
"45","Development and Validation of Time-to-Event Machine Learning Models for Predicting Disease-Free Survival in Patients with Locally Advanced Colorectal Cancer: A Multicenter Cohort Study.","10.1245/s10434-025-18815-3"
"46","The stereotactic radiosurgery-brain prognostic index (SRS-BPI): A novel prognostic index for SRS-eligible lung cancer patients with brain metastases.","10.1016/j.compbiomed.2025.110790"
"47","Clinical Impact of External Carotid Artery Remodeling Following Carotid Artery Stenting.","10.3390/jcm14186682"
"48","Prognostic value of blood-based biomarkers in multiple sclerosis patients in the absence of clinical relapses or new MRI lesions.","10.1177/17562864251374903"
"49","The Optimal Cutoffs of Liver Stiffness Measurement for Staging Fibrosis in On-treatment Patients With Chronic Hepatitis B.","10.1016/j.cgh.2025.05.029"
"50","ConvXGB: A novel deep learning model to predict recurrence risk of early-stage cervical cancer following surgery using multiparametric MRI images.","10.1016/j.tranon.2025.102281"
"51","Predicting Anterior Cruciate Ligament Reconstruction Revision Risk: An Enhanced Machine Learning Analysis of the Danish Knee Ligament Reconstruction Registry.","10.2106/JBJS.24.00821"
"52","Predicting the complexity of robotic liver surgery: a comparative analysis of the IWATE, Kawaguchi-Gayet, Hasegawa, Southampton, and Tampa scores.","10.1007/s00464-025-11859-2"
"53","Research on the predictive efficacy of MRI-based endplate bone quality and vertebral body bone quality scores for adjacent segment degeneration after lumbar spinal fusion.","10.1007/s00586-025-09239-4"
"54","Utility of Sepsis-induced Coagulopathy Among Disseminated Intravascular Coagulation Diagnostic Criteria: A Multicenter Retrospective Validation Study.","10.1055/a-2530-7553"
"55","A Nomogram for Predicting Pulmonary Complications Following Laparoscopic Surgery in Elderly Patients After the COVID-19 Pandemic.","10.2147/CIA.S515849"
"56","Prediction of antimicrobial resistance from MALDI-TOF mass spectra using machine learning: a validation study.","10.1128/jcm.01186-25"
"57","Contrast-enhanced MRI-based multi-parameter habitats radiomics models to predict early recurrence in early-stage hepatocellular carcinoma following curative resection.","10.1016/j.ejrad.2025.112560"
"58","Serum N-Glycans as Independent Predictors of Death: A Prospective Investigation in the AEGIS Cohort.","10.1016/j.mcpro.2025.101217"
"59","Multimodal deep-learning model using pre-treatment endoscopic images and clinical information to predict efficacy of neoadjuvant chemotherapy in esophageal squamous cell carcinoma.","10.1007/s10388-025-01106-x"
"60","An Easy and Quick Risk-Stratified Early Forewarning Model for Septic Shock in the Intensive Care Unit: Development, Validation, and Interpretation Study.","10.2196/58779"
"61","Application of Orofacial Muscle Strength Measurement to Screen for Penetration/Aspiration Risk in Older Adults With Sarcopenia: A Diagnostic Accuracy Study.","10.1111/joor.13933"
"62","Automated Creak Identifies Laryngeal Dystonia During Conversational Speech.","10.1002/lary.70332"
"63","A vision transformer-convolutional neural network framework for decision-transparent dual-energy X-ray absorptiometry recommendations using chest low-dose CT.","10.1016/j.ijmedinf.2025.105901"
"64","Development and validation of a nomogram for the prediction of metabolic syndrome in polycystic ovary syndrome in a Chinese population.","10.1080/14737159.2025.2579046"
"65","Assessment of a Zero-Shot Large Language Model in Measuring Documented Goals-of-Care Discussions.","10.1016/j.jpainsymman.2025.09.025"
"66","Necroptotic and Apoptotic Pathways in Sepsis: A Comparative Analysis of Pediatric and Adult ICU Patients.","10.3390/biomedicines13071747"
"67","Renal and Peripheral Blood Transcriptome Signatures That Predict Treatment Response in Proliferative Lupus Nephritis-A Prospective Study.","10.1111/imm.13891"
