key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-435288317,Wrist rotation metrics as digital biomarkers for detecting physio-cognitive decline syndrome in older adults.,,1,1,Experimental gerontology,,,,,,,,,,"Physio-cognitive decline syndrome (PCDS) is a reversible condition affecting physical and cognitive health in older adults. Early detection is essential to facilitate timely interventions. This study aimed to evaluate wrist rotation metrics as potential biomarkers for PCDS and explore their applicability in digital health tools. This pilot study recruited 50 community-dwelling individuals aged 50 years or older from Yi-Lan County, Taiwan, including 19 with PCDS and 31 robust participants. Wrist rotation movements were assessed using a custom device, and statistical analyses, including logistic regression and receiver operating characteristic (ROC) curve analysis, were performed to evaluate the diagnostic accuracy of the metrics. Two rotation metrics, Rotate (60°-30°) and the ratio Rotate (30°-90°)/Rotate (60°-90°), were significantly associated with PCDS. The ratio metric demonstrated high sensitivity, making it suitable for initial screening, while Rotate (60°-30°) exhibited high specificity, supporting its use as a confirmatory test. These complementary roles highlight the potential of these metrics in tiered diagnostic frameworks. Wrist rotation metrics show promise as scalable and non-invasive tools for detecting PCDS. These findings support their integration into digital platforms, such as smartphone applications, for early screening and intervention. Further studies are needed to validate these findings in larger, diverse populations and to assess their utility in monitoring disease progression and guiding interventions to improve physical and cognitive health.","RAYYAN-INCLUSION: {""daivd""=>""Excluded"", ""Alexander""=>""Included""} | USER-NOTES: {""daivd""=>[""I don't think this is what we are after.""]}",10.1016/j.exger.2025.112766,"",,
rayyan-435288318,"Machine learning-based forest fire susceptibility mapping of Southern Mizoram, a part of Indo-Burma Biodiversity Hotspot.",,1,1,Environmental science and pollution research international,,,,,,,,,,"Forest fires are a significant global environmental hazard, causing widespread economic losses and ecological damage to natural habitats. Biodiversity-rich regions like Mizoram, a northeastern Indian state known for its lush forests and a part of Indo-Burma Biodiversity Hotspot, are particularly vulnerable to these fires. Between 2012 and 2021, Mizoram incurred losses amounting to approximately $8,910,000 USD due to wildfires. This study addresses the urgent need for high-resolution forest fire susceptibility mapping for southern Mizoram (Lunglei, Lawngtlai, Serchhip, and Tlabung), highlighting the region's ecological fragility and vulnerability. We employed six machine learning (ML) algorithms-AdaBoost, Decision Tree, Gaussian Process, K-Nearest Neighbor, Random Forest, and Support Vector Machine and analyzed ten wildfire conditioning factors. These factors include topographical elements (DEM, slope, aspect, curvature, TWI), vegetation indices (pre-fire EVI, pre-fire VARI), anthropogenic factors (LULC), and solar radiation. A forest fire inventory was created using high-resolution satellite images from April 2021 through visual manual interpretation. Feature importance analysis using Gini Impurity revealed that pre-fire NDMI, EVI, DEM, aspect, and solar radiation were the most significant contributors. Performance metrics such as average accuracy, precision, recall, F1-score, area under the curve (AUC), and G-mean were used to evaluate the ML algorithms. AUC values ranged from 0.84 to 0.91, with accuracy scores between 0.74 and 0.81. Among the models, the Random Forest algorithm demonstrated the best performance across all metrics. Lawngtlai exhibited the highest susceptibility (64%, 869.66 km2), followed by Tlabung (38%, 956.09 km2), Lunglei (27%, 556.57 km2), and Serchhip (21%, 21.72 km2). Overall, 37.01% (2677.21 km2) of the study area was classified as highly susceptible. Our analysis further indicates that lower elevations and specific aspect orientations-namely East, Southeast, Southwest, and South-substantially influence forest fire susceptibility. Finally, the forest fire susceptibility map was validated using high-resolution Planet images. This study demonstrates that ML-based susceptibility estimation can be used to implement effective natural resource management and proactive measures to mitigate the environmental impact of forest fires.","RAYYAN-INCLUSION: {""daivd""=>""Excluded"", ""Alexander""=>""Excluded""} | USER-NOTES: {""daivd""=>[""not health""]}",10.1007/s11356-025-36621-y,"",,
rayyan-435288319,A Clinically Inspired Deep Learning Framework for Laryngeal Cancer Detection and Malignancy Transformation Risk Assessment.,,1,1,Otolaryngology--head and neck surgery : official journal of American Academy of Otolaryngology-Head and Neck Surgery,,,,,,,,,,"Laryngeal cancer (LCA) is a prevalent head and neck malignancy. However, laryngoscopic image interpretation remains experience-dependent, resulting in diagnostic variability, particularly in resource-limited settings. This study aimed to develop a deep learning model to enhance lesion detection, guide biopsies, and streamline diagnostic processes. Retrospective study of a classification network. Five medical centers in China. A dataset comprising 16,587 laryngoscopic images from 2585 patients representing 10 distinct laryngeal lesions was established. First, TransCL was developed and validated on multiple independent test sets in comparison with existing models. Second, the model was evaluated on unseen lesion types to assess its generalizability. Third, its ability to predict malignant transformation in benign lesions was assessed against expert annotations. Finally, TransCL predictions were compared with diagnoses made by laryngologists. TransCL demonstrated outstanding performance across all test sets, achieving an area under the curve of 0.978 (0.974-0.982), accuracy of 0.942 (0.938-0.945), F1-score of 0.961 (0.959-0.963), and Matthews Correlation Coefficient of 0.843 (0.831-0.855) in the internal validation. Performance remained robust in external validations, outperforming existing models. The model demonstrated strong generalization to unseen lesion types and reliably predicted malignant transformation risk in benign lesions. Compared with human experts, TransCL outperformed junior laryngologists and several senior laryngologists, achieving performance achieving performance comparable to that of top senior laryngologists. TransCL demonstrated high robustness, accuracy, and generalizability, with diagnostic performance comparable to that of experienced clinicians in LCA detection and lesion risk assessment, suggesting its potential for clinical applications.","RAYYAN-INCLUSION: {""daivd""=>""Included"", ""Alexander""=>""Included""}",10.1002/ohn.70075,"",,
rayyan-435288320,Integrated clinicopathological-radiomic-blood model for glioma survival prediction via machine learning: a multicenter cohort study.,,1,1,Neurosurgical review,,,,,,,,,,"Glioma is characterized by a poor prognosis and limited possibilities for treatment. Previous studies have developed prediction models for glioma using genetic, clinical, pathological, imaging and other aspects; however, few studies have combined these data. The current study is intended to fully utilize medical data from the routine practice of glioma care and develop a model with the assistance of machine learning. Multiple factors-including demographic features, radiomic features, laboratory biomarkers, and pathological features-were collected from two Class Three hospitals in China. Preoperative images and blood tests were quantified with machine learning methods. The survival time was documented during follow-up. Multivariate Cox regression and seven machine learning algorithms were used for modeling. A total of 674 glioma patients from two centers were enrolled. Fifteen radiomic features (RFs) and ten laboratory biomarkers were used to create the RF score and blood score. A clinicopathological-radiomic-blood model (CRBM) was created to stratify the mortality risk of glioma patients (P < 0.0001). The AUC of the Cox-based model was 0.913 (0.886-0.940) on the training dataset and 0.802 (0.738-0.865) on the validation dataset, and the AUCs of the XGBoost model on the same datasets were 0.954 (0.935-0.973) and 0.761 (0.693-0.829), respectively. The SHapley Additive exPlanations (SHAP) method suggested the contribution of preoperative imaging and laboratory data to the model. The CRBM is able to predict the survival of glioma patients with acceptable accuracy. Our work suggests the considerable potential of combined clinically derived data in predicting glioma survival and the utility of machine learning in variable selection and model construction.","RAYYAN-INCLUSION: {""daivd""=>""Included"", ""Alexander""=>""Included""}",10.1007/s10143-025-03719-3,"",,
rayyan-435288321,Integrated metabolomics and proteomics to screen early diagnostic biomarkers of venous thromboembolism following severe trauma: A retrospective study.,,1,1,Injury,,,,,,,,,,"Venous thromboembolism (VTE), including deep venous thrombosis (DVT) and pulmonary embolism (PE), is a leading cause of trauma-related mortality within 30 days in severe trauma patients. Current diagnostic methods have limitations, leading to an urgent need to identify early diagnostic biomarkers of VTE. To screen early diagnostic biomarkers of VTE following severe trauma by integrating metabolomics and proteomics. The existing plasma metabolomics and proteomics data from 72 severe trauma patients with (22 cases) and without (49 cases) VTE were retrospectively analyzed. By comparing two groups, early diagnostic biomarkers of VTE in severe trauma patients were identified. 210 differentially expressed metabolites (DEMs) and 11 DEPs (DEPs) were identified. We screened the top 10 DEMs and 11 DEPs as early diagnostic biomarkers for VTE after severe trauma, then developed two panels using top 10 DEMs (AUC=0.952) and 11 DEPs (AUC=0.955), respectively. By integrating metabolomics and proteomics, we developed a diagnostic panel consisting of LPC16:0 and FA7, which demonstrated superior diagnostic efficacy (AUC = 0.937). This study identified potential biomarkers of VTE after severe trauma, providing a novel strategy for early precision diagnosis, providing new insights into the pathogenesis of VTE after severe trauma, and establishing a translational framework for developing early diagnostic biomarker panels.","RAYYAN-INCLUSION: {""daivd""=>""Included"", ""Alexander""=>""Included""} | USER-NOTES: {""daivd""=>[""I was unsure about this one""]}",10.1016/j.injury.2025.112934,"",,
rayyan-435288322,An integrated optimization and deep learning pipeline for predicting live birth success in IVF using feature optimization and transformer-based models.,,1,1,Computer methods and programs in biomedicine,,,,,,,,,,"The complicated interplay of clinical, demographic, and procedural factors makes it difficult to predict the success of in vitro fertilization (IVF), a commonly used assisted reproductive technology. The goal of this research was to create an artificial intelligence (AI) pipeline that could predict live birth outcomes in IVF treatments with high accuracy. We evaluated prediction performance by integrating different feature selection methods, such as principal component analysis (PCA) and particle swarm optimization (PSO), with different machine learning-based classifiers, including random forest (RF) and decision tree, as well as deep learning-based classifiers, including a custom transformer-based model and a Tab_transformer model with an attention mechanism. Additionally, this study analyzes confounding factors like patient age and previous IVF cycles and explores the influence of different perturbation and preprocessing techniques and validates the model's robustness under varied scenarios. In addition, Shapley Additive Explanations (SHAP) analysis was performed to enhance interpretability of methods. This research demonstrated that the best performance was achieved by combining PSO for feature selection with the Tab_transformer-based deep learning model, yielding an accuracy of 97 % and an AUC of 98.4 %, highlighting its significant performance in prediction live births. By identifying the most significant predictors of infertility and guaranteeing clinical significance, SHAP analysis significantly improved interpretability. With the accuracy and interpretability, this study develops a strong AI pipeline for predicting live birth outcomes in IVF. This study establishes a highly accurate AI pipeline for predicting live birth outcomes in IVF, demonstrating its potential to enhance personalized fertility treatments.","RAYYAN-INCLUSION: {""daivd""=>""Included"", ""Alexander""=>""Included""}",10.1016/j.cmpb.2025.108979,"",,
rayyan-435288323,Predictive value of biomarker signatures for suicide risk in hospitalised patients with major depressive disorders: a multicentre study in Shanghai.,,1,1,General psychiatry,,,,,,,,,,"Biomarkers for predicting suicide risk in hospitalised patients with mental disorders have been understudied. Currently, suicide risk assessment tools based on objective indicators are limited in China. To examine the value of various biomarkers in suicide risk prediction and develop a risk assessment model with clinical utility using machine learning. This cohort study analysed patients with major depressive disorder (MDD) who were hospitalised for the first time between January 2016 and March 2023 from four specialised mental health institutions. A total of 139 features, including biomarker measurements, medical orders and psychological scales, were assessed for analysis. Their suicide risk was evaluated by qualified nurses using Nurse's Global Assessment of Suicide Risk within 1 week after admission. Five machine learning models were trained with 10-fold cross-validation across three hospitals and were externally validated in an independent cohort. The primary performance was assessed using the area under the receiver operating characteristic curve (AUROC). The model was interpreted using the SHapley Additive exPlanations (SHAP) analysis. Biomarker importance was evaluated by comparing model performance with and without these biomarkers. Of 3143 patients with MDD included in this study, the incidence of high suicide risk within 1 week after first admission was 660 (21.0%). Among all models, the Extreme Gradient Boosting can more effectively predict future risks, with an AUROC higher than 0.8 (p<0.001). The SHAP values identified the 10 most important features, including five biomarkers. After clustering analysis, electroconvulsive therapy, physical restraint, β2-microglobulin and triiodothyronine were found to have heterogeneous effects on suicide risk. Combining biomarkers with other data from electronic health records significantly improved the performance and clinical utility of machine learning models based on demographics, diagnosis, laboratory tests, medical orders and psychological scales. This study demonstrates the potential for a biomarker-based suicide risk assessment for patients with MDD, emphasising the interaction between biomarkers and therapeutic interventions.","RAYYAN-INCLUSION: {""daivd""=>""Included"", ""Alexander""=>""Included""}",10.1136/gpsych-2024-101957,"",,
rayyan-435288324,Automatic contour quality assurance using deep-learning based contours.,,1,1,Physics in medicine and biology,,,,,,,,,,"Objective.Safe deployment of auto-contouring models requires the inclusion of automated quality assurance (QA). One such approach is to use two independent auto-contouring models and compare them geometrically for acceptability. This is not effective because geometric differences may not correlate with clinically significant errors. Herein, we investigated whether a two-contour QA system is improved by including dose in this comparison.Approach.Volumetric modulated arc therapy plans were generated for 86 head and neck (H&N) and 50 cervical (GYN) cancer patients, using clinically-approved planning target volumes (PTVs) and auto-contour organs-at-risk (OARs) from a primary auto-contouring model. Doses to the primary OARs were compared with doses to manually drawn and approved OARs ('the truth'). A difference inDmeanorDmax⩾ 2 Gy was identified as a reporting error (Derror). A second, independent auto-contouring model was then used to contour the OARs (verification). The primary and verification auto-contouring models were compared geometrically (dice similarity coefficient (DSC), surface DSC, 95% Hausdorff distance, mean surface distance) and dosimetrically (Dmean,Dmax). The ability of comparison metrics between the two auto-contouring models to flag actual dosimetric errors (i.e. primary model compared with the truth) was investigated. A logistic regression model was used to predictDerror. The data was divided by disease site and into 50/50 stratified training and testing sets;k-fold cross validation was employed during training to avoid overfitting. H&N structures were further divided into size-specific groups to improve model performance and generalizability.Main results.Including dose metrics in the logistic regression model to predictDerror, meanincreased the performance in terms of receiver-operating characteristic curve-area under the curve and area under the precision-recall curve in the test set for H&N small structures. ForDerror, max, including dose metrics increased performance for H&N small structures, H&N medium structures, and GYN structures.Significance.In many instances, utilizing dose with geometric comparisons can improve the ability of a verification model to flag potential errors from a primary auto-contouring model.","RAYYAN-INCLUSION: {""daivd""=>""Excluded"", ""Alexander""=>""Included""} | USER-NOTES: {""daivd""=>[""not health""]}",10.1088/1361-6560/ade5e6,"",,
rayyan-435288325,Immune-related biochemical markers and 20-year incidence of atherosclerotic cardiovascular disease: the ATTICA study (2002-2022).,,1,1,Atherosclerosis,,,,,,,,,,"Inflammation has been associated with increased atherosclerotic cardiovascular disease (ASCVD) risk. We evaluated immune-related biomarkers regarding their ability, individually and as a composite score, to predict 20-year ASCVD incidence in an apparently healthy adult population. A cohort of 1270 adults, who were free of ASCVD at baseline, with a 20-year follow-up from the prospective ATTICA study, were included in this analysis. Immune-related biochemical markers independently predictive of 20-year ASCVD risk were identified, and an aggregate biomarker score was developed. The incremental predictive value of this score beyond the SCORE2 was assessed using area under the receiver operating characteristic curve (AUC), net reclassification improvement (NRI), and integrated discrimination improvement (IDI). Three immune-related biomarkers -interleukin-6 (IL-6), tumor necrosis factor-alpha (TNF-α) and fibrinogen-showed the best predictive ability of 20-year ASCVD risk and were subsequently integrated into an aggregate biomarker score (ImmActScore), exhibiting a range from 0 (6 % absolute risk) to 4 (63 % absolute risk). Individual ImmActScore was independently associated with 20-year ASCVD risk (multi-adjusted HR per 1-unit:1.24, 95 %CI:1.05-1.46, p = 0.011). The 38.5 % of the 20-year incident ASCVD could be attributed to ImmActScores of ≥1. Integrating ImmActScore into the SCORE2 model yielded a continuous NRI of 0.603 and a categorical NRI of 18.4 % in the 40-50 year age group. Assessing immune-related pathways may offer additional potential for long-term ASCVD risk stratification. A combined measure of IL-6, TNF-α and fibrinogen levels was associated with ASCVD events over a 20-year period. Further validation in independent cohorts is warranted.","RAYYAN-INCLUSION: {""daivd""=>""Included"", ""Alexander""=>""Included""}",10.1016/j.atherosclerosis.2025.119212,"",,
rayyan-435288326,Associations between suicidal ideation and childhood maltreatment as well as inflammatory cytokines in adolescents with major depressive disorder.,,1,1,European archives of psychiatry and clinical neuroscience,,,,,,,,,,"Suicidal ideation (SI) is thought to be associated with childhood maltreatment (CM) and inflammatory processes. Yet, these links are not thoroughly studied in adolescents with major depressive disorder (MDD). So, this study focused on investigating the predictive value of CM and inflammatory cytokines for SI in this population. This study included 156 depressed adolescents. The Center for Epidemiological Studies Depression Scale (CES-D), the Childhood Trauma Questionnaire (CTQ) and the Positive and Negative Suicidal Ideation Scale (PANSI) were used to assess depression, CM and SI, respectively. Additionally, plasma inflammatory cytokines levels were measured, including interleukin (IL)-1β, IL-6, IL-10, IL-17A and tumor necrosis factor-α (TNF-α). Univariate analyses showed that females had higher levels of SI in adolescents with MDD. Moreover, the level of SI was negatively correlated with age and age at onset, and positively correlated with duration of illness, CES-D score, CTQ score, as well as levels of IL-1β, IL-6 and TNF-α (all p < 0.05). Furthermore, regression analyses revealed that SI was independently associated with age at onset, CES-D score, CTQ score, and Log IL-1β (all p < 0.05). Finally, receiver operating characteristic (ROC) curve analyses revealed that the combination of the CES-D score, CTQ score, and IL-1β (AUC = 0.910, 95% CI = 0.864-0.956, p < 0.001) had a better ability to identify SI in adolescents with MDD, exhibiting higher sensitivity and specificity. SI is associated with depressive symptoms, CM and elevated levels of inflammatory cytokines (especially IL-1β) in adolescents with MDD. In the future, interventions such as cognitive behavioural therapy and the administration of anti-inflammatory drugs, targeting the modulation of CM and inflammatory cytokine levels, may play important roles in preventing suicidal behaviors in depressed adolescents.","RAYYAN-INCLUSION: {""daivd""=>""Excluded"", ""Alexander""=>""Excluded""}",10.1007/s00406-025-02002-2,"",,
