"","doi","auc","claude","hand","agreement"
"1","10_1002_dad2_70229",0.74,"missing","present","hand_only"
"2","10_1007_s00330-025-12208-6",0.729,"missing","present","hand_only"
"3","10_1002_mp_17882",0.52,"missing","present","hand_only"
"4","10_1002_mp_17672",0.589,"missing","present","hand_only"
"5","10_1016_j_dld_2025_03_021",0.74,"missing","present","hand_only"
"6","10_1002_mp_17672",0.722,"missing","present","hand_only"
"7","10_1002_mp_17672",0.771,"missing","present","hand_only"
"8","10_3802_jgo_2025_36_e64",0.79,"missing","present","hand_only"
"9","10_1002_mp_17672",0.83,"missing","present","hand_only"
"10","10_1016_j_compbiomed_2025_110790",0.689,"missing","present","hand_only"
"11","10_1002_dad2_70229",0.72,"missing","present","hand_only"
"12","10_1007_s00330-025-12208-6",0.798,"missing","present","hand_only"
"13","10_1371_journal_pmed_1004665",0.681,"missing","present","hand_only"
"14","10_1002_mp_17672",0.58,"missing","present","hand_only"
"15","10_1007_s00198-025-07503-3",0.73,"missing","present","hand_only"
"16","10_1002_mp_17672",0.656,"missing","present","hand_only"
"17","10_1002_ccd_31534",0.86,"missing","present","hand_only"
"18","10_3389_fnut_2025_1668778",0.84,"missing","present","hand_only"
"19","10_1371_journal_pmed_1004665",0.798,"missing","present","hand_only"
"20","10_1371_journal_pmed_1004665",0.76,"missing","present","hand_only"
"21","10_1371_journal_pmed_1004665",0.737,"missing","present","hand_only"
"22","10_2106_jbjs_24_01601",0.924,"missing","present","hand_only"
"23","10_1021_acs_jcim_4c02130",0.825,"missing","present","hand_only"
"24","10_2106_jbjs_24_01601",0.92,"missing","present","hand_only"
"25","10_1016_j_ijmedinf_2025_105901",0.93,"missing","present","hand_only"
"26","10_1002_mp_17672",0.531,"missing","present","hand_only"
"27","10_1002_1878-0261_70084",0.501,"missing","present","hand_only"
"28","10_1016_j_injury_2025_112934",0.852,"missing","present","hand_only"
"29","10_1007_s00330-025-11981-8",0.9,"missing","present","hand_only"
"30","10_1371_journal_pmed_1004665",0.78,"missing","present","hand_only"
"31","10_1371_journal_pmed_1004665",0.809,"missing","present","hand_only"
"32","10_1136_gutjnl-2025-335598",0.852,"missing","present","hand_only"
"33","10_1007_s00330-025-12208-6",0.847,"missing","present","hand_only"
"34","10_2106_jbjs_24_01601",0.903,"missing","present","hand_only"
"35","10_1021_acs_jcim_4c02130",0.881,"missing","present","hand_only"
"36","10_1007_s00068-025-02793-y",0.9792,"missing","present","hand_only"
"37","10_2106_jbjs_24_01601",0.909,"missing","present","hand_only"
"38","10_1371_journal_pmed_1004665",0.743,"missing","present","hand_only"
"39","10_1371_journal_pmed_1004665",0.725,"missing","present","hand_only"
