,doi,auc,claude,hand,agreement,in_article,location,reason
1,10_1002_dad2_70229,0.74,missing,present,hand_only,TRUE,text,in text as c-index
2,10_1007_s00330-025-12208-6,0.729,missing,present,hand_only,TRUE,table,na
3,10_1002_mp_17882,0.52,missing,present,hand_only,FALSE,FALSE,not found
4,10_1002_mp_17672,0.589,missing,present,hand_only,TRUE,table,na
5,10_1016_j_dld_2025_03_021,0.74,missing,present,hand_only,FALSE,FALSE,could be confidence interval
6,10_1002_mp_17672,0.722,missing,present,hand_only,TRUE,table,na
7,10_1002_mp_17672,0.771,missing,present,hand_only,TRUE,table,na
8,10_3802_jgo_2025_36_e64,0.79,missing,present,hand_only,TRUE,text,na
9,10_1002_mp_17672,0.83,missing,present,hand_only,TRUE,text,na
10,10_1016_j_compbiomed_2025_110790,0.689,missing,present,hand_only,TRUE,text,in text as c-index
11,10_1002_dad2_70229,0.72,missing,present,hand_only,TRUE,table,na
12,10_1007_s00330-025-12208-6,0.798,missing,present,hand_only,TRUE,table,na
13,10_1371_journal_pmed_1004665,0.681,missing,present,hand_only,TRUE,figure,na
14,10_1002_mp_17672,0.58,missing,present,hand_only,TRUE,table,na
15,10_1007_s00198-025-07503-3,0.73,missing,present,hand_only,TRUE,figure,na
16,10_1002_mp_17672,0.656,missing,present,hand_only,TRUE,table,na
17,10_1002_ccd_31534,0.86,missing,present,hand_only,TRUE,text,na
18,10_3389_fnut_2025_1668778,0.84,missing,present,hand_only,TRUE,text,na
19,10_1371_journal_pmed_1004665,0.798,missing,present,hand_only,TRUE,figure,na
20,10_1371_journal_pmed_1004665,0.76,missing,present,hand_only,TRUE,figure,na
21,10_1371_journal_pmed_1004665,0.737,missing,present,hand_only,TRUE,figure,na
22,10_2106_jbjs_24_01601,0.924,missing,present,hand_only,TRUE,table,na
23,10_1021_acs_jcim_4c02130,0.825,missing,present,hand_only,TRUE,table,na
24,10_2106_jbjs_24_01601,0.92,missing,present,hand_only,TRUE,table,na
25,10_1016_j_ijmedinf_2025_105901,0.93,missing,present,hand_only,TRUE,table,na
26,10_1002_mp_17672,0.531,missing,present,hand_only,TRUE,table,na
27,10_1002_1878-0261_70084,0.501,missing,present,hand_only,TRUE,figure,na
28,10_1016_j_injury_2025_112934,0.852,missing,present,hand_only,TRUE,figure,na
29,10_1007_s00330-025-11981-8,0.9,missing,present,hand_only,TRUE,table,na
30,10_1371_journal_pmed_1004665,0.78,missing,present,hand_only,TRUE,figure,na
31,10_1371_journal_pmed_1004665,0.809,missing,present,hand_only,TRUE,figure,na
32,10_1136_gutjnl-2025-335598,0.852,missing,present,hand_only,TRUE,table,na
33,10_1007_s00330-025-12208-6,0.847,missing,present,hand_only,TRUE,table,na
34,10_2106_jbjs_24_01601,0.903,missing,present,hand_only,TRUE,table,na
35,10_1021_acs_jcim_4c02130,0.881,missing,present,hand_only,TRUE,table,na
36,10_1007_s00068-025-02793-y,0.9792,missing,present,hand_only,TRUE,text,na
37,10_2106_jbjs_24_01601,0.909,missing,present,hand_only,TRUE,table,na
38,10_1371_journal_pmed_1004665,0.743,missing,present,hand_only,TRUE,figure,na
39,10_1371_journal_pmed_1004665,0.725,missing,present,hand_only,TRUE,figure,na
40,10_1080_21505594_2025_2534078,0.553,missing,present,hand_only,TRUE,figure,na
41,10_1002_mp_17672,0.229,missing,present,hand_only,TRUE,table,na
42,10_2106_jbjs_24_01601,0.852,missing,present,hand_only,TRUE,table,na
43,10_1007_s00330-025-12208-6,0.837,missing,present,hand_only,TRUE,table,na
44,10_1021_acs_jcim_4c02130,0.886,missing,present,hand_only,TRUE,table,na
45,10_3389_fcvm_2025_1609891,0.634,missing,present,hand_only,TRUE,text,in text as c-index
46,10_1016_j_ijbiomac_2025_146075,0.9486,missing,present,hand_only,TRUE,figure,na
47,10_1007_s00234-025-03732-9,0.782,missing,present,hand_only,TRUE,table,na
48,10_1002_1878-0261_70084,0.75,missing,present,hand_only,TRUE,text,na
49,10_1016_j_cmpb_2025_108979,0.984,missing,present,hand_only,TRUE,table,na
50,10_1111_iej_70055,0.96,missing,present,hand_only,TRUE,figure,na
51,10_1002_jpn3_70201,0.631,present,missing,claude_only,TRUE,table,na
52,10_1002_ana_27260,0.83,present,missing,claude_only,TRUE,text,na
53,10_1136_gutjnl-2025-335598,0.761,present,missing,claude_only,TRUE,text,na
54,10_1002_ana_27291,0.92,present,missing,claude_only,TRUE,text,na
55,10_3389_fcvm_2025_1609891,0.59,present,missing,claude_only,TRUE,text,na
56,10_1002_lary_70286,0.825,present,missing,claude_only,TRUE,text,na
57,10_1002_ana_27291,0.91,present,missing,claude_only,TRUE,text,na
58,10_1002_ijgo_70159,0.93,present,missing,claude_only,TRUE,table,na
59,10_3389_fendo_2025_1698247,0.846,present,missing,claude_only,TRUE,text,na
60,10_1007_s00062-025-01593-6,0.84,present,missing,claude_only,TRUE,figure,na
61,10_1002_lary_70286,0.858,present,missing,claude_only,TRUE,text,na
62,10_1002_wjs_70062,0.835,present,missing,claude_only,TRUE,figure,na
63,10_1007_s10143-025-03719-3,0.771,present,missing,claude_only,TRUE,figure,na
64,10_1128_jcm_01186-25,0.73,present,missing,claude_only,TRUE,text,na
65,10_1016_j_ijbiomac_2025_146075,0.9198,present,missing,claude_only,TRUE,figure,na
66,10_1136_gutjnl-2025-335598,0.722,present,missing,claude_only,TRUE,table,na
67,10_1016_j_ijmedinf_2025_105901,0.91,present,missing,claude_only,TRUE,text,na
68,10_1080_14737159_2025_2579046,0.824,present,missing,claude_only,TRUE,text,na
69,10_3389_fmed_2025_1623850,0.98,present,missing,claude_only,TRUE,text,na
70,10_1089_end_2024_0922,0.87,present,missing,claude_only,TRUE,table,na
71,10_1002_jpn3_70201,0.572,present,missing,claude_only,TRUE,table,na
72,10_1016_j_jad_2025_120197,0.707,present,missing,claude_only,TRUE,figure,na
73,10_1016_j_ijmedinf_2025_105901,0.91,present,missing,claude_only,TRUE,text,na
74,10_1007_s00062-025-01593-6,0.864,present,missing,claude_only,TRUE,figure,na
75,10_1016_j_ijbiomac_2025_146075,0.9374,present,missing,claude_only,TRUE,table,na
76,10_1002_mp_17650,0.8587,present,missing,claude_only,TRUE,table,na
77,10_1128_jcm_01186-25,0.81,present,missing,claude_only,TRUE,text,na
78,10_1016_j_ijbiomac_2025_146075,0.9184,present,missing,claude_only,TRUE,table,na
79,10_1007_s00127-025-02857-9,0.649,present,missing,claude_only,TRUE,text,na
80,10_1002_1878-0261_70084,0.844,present,missing,claude_only,TRUE,text,na
81,10_1177_17562864251374903,0.522,present,missing,claude_only,TRUE,figure,na
82,10_1002_ana_27291,0.95,present,missing,claude_only,TRUE,text,na
83,10_1007_s00234-025-03661-7,0.837,present,missing,claude_only,TRUE,text,na
84,10_3389_fmed_2025_1471746,0.8,present,missing,claude_only,TRUE,text,na
85,10_1136_gutjnl-2025-335598,0.755,present,missing,claude_only,TRUE,text,na
86,10_3389_fendo_2025_1698247,0.971,present,missing,claude_only,TRUE,text,na
87,10_1016_j_ijmedinf_2025_105901,0.95,present,missing,claude_only,TRUE,text,na
88,10_1136_gutjnl-2025-335598,0.732,present,missing,claude_only,TRUE,table,na
89,10_1128_jcm_01186-25,0.75,present,missing,claude_only,TRUE,table,na
90,10_1002_dad2_70229,0.69,present,missing,claude_only,TRUE,table,na
91,10_1002_ana_27291,0.94,present,missing,claude_only,TRUE,text,na
92,10_3389_fendo_2025_1698247,0.804,present,missing,claude_only,TRUE,text,na
93,10_1038_s41380-025-03192-w,0.79,present,missing,claude_only,TRUE,text,na
94,10_1128_jcm_01186-25,0.71,present,missing,claude_only,TRUE,figure,na
95,10_1002_ueg2_70004,0.779,present,missing,claude_only,TRUE,text,na
96,10_1016_j_ijbiomac_2025_146075,0.9406,present,missing,claude_only,TRUE,text,na
97,10_1097_shk_0000000000002569,0.702,present,missing,claude_only,TRUE,text,na
98,10_1016_j_jinf_2025_106458,0.7,present,missing,claude_only,TRUE,text,na
99,10_1002_dad2_70229,0.68,present,missing,claude_only,TRUE,table,na
100,10_1038_s41380-025-03192-w,0.85,present,missing,claude_only,TRUE,text,na
