"","X","title","doi","pdf"
"1",1,"Wrist rotation metrics as digital biomarkers for detecting physio-cognitive decline syndrome in older adults.","10.1016/j.exger.2025.112766","10.1016_j.exger.2025.112766"
"2",2,"A Clinically Inspired Deep Learning Framework for Laryngeal Cancer Detection and Malignancy Transformation Risk Assessment.","10.1002/ohn.70075","10.1002_ohn.70075"
"3",3,"Integrated clinicopathological-radiomic-blood model for glioma survival prediction via machine learning: a multicenter cohort study.","10.1007/s10143-025-03719-3","10.1007_s10143-025-03719-3"
"4",4,"Integrated metabolomics and proteomics to screen early diagnostic biomarkers of venous thromboembolism following severe trauma: A retrospective study.","10.1016/j.injury.2025.112934","10.1016_j.injury.2025.112934"
"5",5,"An integrated optimization and deep learning pipeline for predicting live birth success in IVF using feature optimization and transformer-based models.","10.1016/j.cmpb.2025.108979","10.1016_j.cmpb.2025.108979"
"6",6,"Predictive value of biomarker signatures for suicide risk in hospitalised patients with major depressive disorders: a multicentre study in Shanghai.","10.1136/gpsych-2024-101957","10.1136_gpsych-2024-101957"
"7",7,"Immune-related biochemical markers and 20-year incidence of atherosclerotic cardiovascular disease: the ATTICA study (2002-2022).","10.1016/j.atherosclerosis.2025.119212","10.1016_j.atherosclerosis.2025.119212"
"8",8,"Bypassing the Delay: Directing Pediatric Intussusception Cases to the OR Through Inflammatory Marker Assessment.","10.1002/wjs.12586","10.1002_wjs.12586"
"9",9,"Developing risk prediction models for type 2 diabetes and assessing the role of circulating metabolic biomarkers in five independent Finnish cohorts with over 22,000 individuals.","10.1016/j.jclinepi.2025.111978","10.1016_j.jclinepi.2025.111978"
"10",10,"External validation of the international immunoglobulin A nephropathy (IgAN) prediction tool in Korean children with IgAN.","10.23876/j.krcp.24.262","10.23876_j.krcp.24.262"
"11",11,"Machine learning models based on location-radiomics enable the accurate prediction of early neurological function deterioration for acute stroke in elderly patients.","10.3389/fnagi.2025.1582687","10.3389_fnagi.2025.1582687"
"12",12,"Prediction model and scoring system for in-hospital mortality risk in infants with heart failure aged 1-36 months: A retrospective case-control study.","10.1016/j.heliyon.2025.e42110","10.1016_j.heliyon.2025.e42110"
"13",13,"Does the SCOPE (Sclerosing Cholangitis Outcomes in PEdiatrics) index effectively predict later liver transplantation in children with sclerosing cholangitis?","10.1016/j.dld.2025.03.021","10.1016_j.dld.2025.03.021"
"14",14,"Validation of MitraScore in diverse mitral regurgitation subtypes: Insights from the OCEAN-mitral registry.","10.1016/j.ijcard.2025.133427","10.1016_j.ijcard.2025.133427"
"15",15,"Bacteroides uniformis-generated hexadecanedioic acid ameliorates metabolic-associated fatty liver disease.","10.1080/19490976.2025.2508433","10.1080_19490976.2025.2508433"
"16",16,"Development and Validation of a 7-Day Postoperative Sleep Disturbance Predictive Nomogram in Non-Cardiovascular Surgical Patients: A Prospective Cohort Study of 3851 Adults.","10.2147/NSS.S536630","10.2147_NSS.S536630"
"17",18,"Sex-specific prognostic utility of the sarcopenia index in all-cause mortality risk for patients with heart failure.","10.3389/fnut.2025.1472596","10.3389_fnut.2025.1472596"
