"key","pmid","title","abstract","publicationDate","journal"
1,"39241307","Head-to-head comparison of contrast-enhanced CT, dual-layer spectral-detector CT, and Gd-EOB-DTPA-enhanced MR in detecting neuroendocrine tumor liver metastases.","To explore the optimal of kiloelectron voltage (keV) of virtual monoenergetic imaging (VMI) of dual-layer spectral-detector CT (DLCT) in detecting neuroendocrine tumor liver metastases (NETLM) and to investigate diagnostic performance of polyenergetic images (PEI), DLCT, and Gd-EOB-DTPA-enhanced MR. Seventy-two patients with suspected NETLM who underwent DLCT and Gd-EOB-DTPA-enhanced MR were retrospectively enrolled. Tumor signal-to-noise ratio (SNR) and contrast-to-noise ratio (CNR) were compared between PEI and VMI at 40-140 keV. Two radiologists read the CT examinations with and without VMI separately in consensus. Two other radiologists read the Gd-EOB-DTPA-enhanced MR in consensus. The diagnostic performance was evaluated. Reference standard was histopathology, follow-up, and interpretation of all available imaging. The highest SNR and CNR were observed at VMI40keV, significantly higher than PEI in the arterial and venous phases (all P<0.01). A total of 477 lesions were identified (396 metastases, 81 benign lesions). Per-lesion AUC was 0.86, 0.91, and 0.97 (PEI, DLCT, and Gd-EOB-DTPA-enhanced MR, respectively). Sensitivity of PEI, DLCT, and Gd-EOB-DTPA-enhanced MRI were 0.76, 0.86, and 0.95, respectively. DLCT significantly improved sensitivity compared to PEI. MR had significantly higher sensitivity than DLCT and PEI. Subgroup analysis demonstrated that the difference in diagnostic performance was concentrated on lesions < 10 mm. The image quality of VMI40keV is higher than that of PEI. DLCT with VMI40keV provides better diagnostic sensitivity for NETLM detection than PEI. Gd-EOB-DTPA-enhanced MR yielded the best diagnostic performance for NETLM detection.","2024","European journal of radiology"
2,"38896280","Development of a machine learning-based risk model for postoperative complications of lung cancer surgery.","To develop a comorbidity risk score specifically for lung resection surgeries. We reviewed the medical records of patients who underwent lung resections for lung cancer, and developed a risk model using data from 2014 to 2017 (training dataset), validated using data from 2018 to 2019 (validation dataset). Forty variables were analyzed, including 35 factors related to the patient's overall condition and five factors related to surgical techniques and tumor-related factors. The risk model for postoperative complications was developed using an elastic net regularized generalized linear model. The performance of the risk model was evaluated using receiver operating characteristic curves and compared with the Charlson Comorbidity Index (CCI). The rate of postoperative complications was 34.7% in the training dataset and 21.9% in the validation dataset. The final model consisted of 20 variables, including age, surgical-related factors, respiratory function tests, and comorbidities, such as chronic obstructive pulmonary disease, a history of ischemic heart disease, and 12 blood test results. The area under the curve (AUC) for the developed risk model was 0.734, whereas the AUC for the CCI was 0.521 in the validation dataset. The new machine learning model could predict postoperative complications with acceptable accuracy. 2020-0375.","2024","Surgery today"
3,"39643263","Thermographic images for screening oral health problems in older adults: A pilot study.","This pilot study assessed the feasibility of using facial thermography to detect intra-oral problems in older adults with cognitive decline and care-resistant behaviors, who are often unable to communicate pain or early symptoms. Twenty-three older adults (mean age 73.7 ± 13.2 years) with cognitive decline were enrolled. Thermal images of four facial views were taken using a smartphone-connected thermal camera. Intra-oral examinations were conducted, and the thermographic data were analyzed to extract temperature values in the regions of interest (ROI). Point-biserial correlations and ROC curve analyses were performed to evaluate associations between temperature data and clinical findings, with a significance level of p < 0.05. Intra-oral issues requiring treatment were found in 12 participants, with six reporting clinical pain. The overall mean temperature in the ROI was 33.5 ± 3.9 °C, and significant temperature differences were found between the body and ROI temperatures. Correlations were observed between clinical problems and various temperature metrics, including the minimum and maximum ROI temperatures (rpb=-0.327, p = 0.002 and rpb=-0.309, p = 0.003). ROC analysis indicated that ROI temperature could predict the presence or absence of clinical problems, with AUC values ranging from 0.651 to 0.796 for different metrics. Thermographic facial imaging shows significant potential as a non-invasive tool for detecting oral health problems in vulnerable older adults. While promising, further research is essential to enhance image quality, streamline the technique, and incorporate AI for improved diagnostic accuracy and ease of use. This non-invasive, inexpensive technique is easy to perform, independent of patient compliance and, is promising to detect early oral problems in noncommunicative patients.","2025","Journal of dentistry"
4,"39488960","Leveraging GIS-based AHP, remote sensing, and machine learning for susceptibility assessment of different flood types in peshawar, Pakistan.","Due to its diverse topography, Pakistan faces different types of floods each year, which cause substantial physical, environmental, and socioeconomic damage. However, the susceptibility of specific regions to different flood types remains unexplored. To the best of our knowledge for the first time, this study employed an integrated approach by leveraging a GIS-based Analytical Hierarchy Process (AHP), remote sensing, and machine learning (ML) algorithms, to assess susceptibility to three different types of flooding in Peshawar, Pakistan. The study first evaluated the degree of susceptibility to riverine, urban, and flash floods using the GIS-based AHP technique, and then employed ML models, (i.e., specifically Random Forest [RF] and Extreme Gradient Boosting [XG-Boost] to analyze multi-type flood susceptibility in the study region. The performance of the ML models was also evaluated, and the XG-Boost model outperforms RF, demonstrating a higher correlation coefficient (R2 = 0.561-0.922) and lower mean absolute error (MAE = 0.042-0.354), and root-mean-square error (RMSE = 0.119-0.415) for both training and testing datasets. The superior performance of the XG-Boost was further confirmed by the higher value of the area under the curve (AUC) values, which is relatively higher (0.87) than that of the AHP (0.70) and RF (0.86) models. Based on the relative best performance, the XG-Boost model was chosen for further susceptibility assessment of different types of floods, and the generated flood susceptibility maps revealed that 20.9% of the total area is susceptible to riverine flooding, while 30.27% and 48.68% of the total area is susceptible to urban and flash flooding, respectively. The study's findings are significant, offering valuable insights for relevant stakeholders in guiding future flood risk management and sustainable land use plans in the study area.","2024","Journal of environmental management"
5,"39682228","Multimodal MRI Deep Learning for Predicting Central Lymph Node Metastasis in Papillary Thyroid Cancer.","Central lymph node metastasis (CLNM) in papillary thyroid cancer (PTC) significantly influences surgical decision-making strategies. This study aims to develop a predictive model for CLNM in PTC patients using magnetic resonance imaging (MRI) and clinicopathological data. By incorporating deep learning (DL) algorithms, the model seeks to address the challenges in diagnosing CLNM and reduce overtreatment. The results were compared with traditional machine learning (ML) models. In this retrospective study, preoperative MRI data from 105 PTC patients were divided into training and testing sets. A radiologist manually outlined the region of interest (ROI) on MRI images. Three classic ML algorithms (support vector machine [SVM], logistic regression [LR], and random forest [RF]) were employed across different data modalities. Additionally, an AMMCNet utilizing convolutional neural networks (CNNs) was proposed to develop DL models for CLNM. Predictive performance was evaluated using receiver operator characteristic (ROC) curve analysis, and clinical utility was assessed through decision curve analysis (DCA). Lesion diameter was identified as an independent risk factor for CLNM. Among ML models, the RF-(T1WI + T2WI, T1WI + T2WI + Clinical) models achieved the highest area under the curve (AUC) at 0.863. The DL fusion model surpassed all ML fusion models with an AUC of 0.891. A fusion model based on the AMMCNet architecture using MRI images and clinicopathological data was developed, effectively predicting CLNM in PTC patients.","2024","Cancers"
6,"39276698","Hypoxic burden and sleep hypoventilation in obese patients.","Novel biomarkers of hypoxic load have emerged, as sleep apnea-specific hypoxic burden which provides more precise assessment of intermittent hypoxemia severity. Our main objective was to assess the potential benefit of hypoxic burden to identify obesity-related sleep hypoventilation. We hypothesized that hypoxic burden may help diagnose obesity-related sleep hypoventilation better than usual sleep respiratory measures (i.e., apnea-hypopnea index (AHI), mean SpO2, time with SpO2 < 90 %). This retrospective study was conducted from June 2022 to October 2023 at the University Hospital of Rouen, France. All consecutive obese patients (BMI ≥30 kg/m2), adults, with no other respiratory or neurological diseases who underwent a polysomnography or polygraphy with concomitant capnography were included. Sleep hypoventilation was defined according to American Academy of Sleep Medicine criteria based on transcutaneous CO2 monitoring (PtcCO2). Diagnostic performance of sleep-related respiratory measures i.e., sleep apnea-specific hypoxic burden, apnea-hypopnea index (AHI), mean SpO2, time with SpO2 < 90 % was evaluated using Receiver Operating Characteristic (ROC) curves. Correlations between sleep-related respiratory measures were assessed by a Spearman correlation matrix. Among 107 obese patients with analyzed capnography, 37 (35 %) had sleep hypoventilation. Patients were 53 ± 14 years old, mean BMI = 38 ± 6 kg/m2, mean AHI = 26.5 ± 25/h, mean hypoxic burden = 67 ± 109 %min/h, mean SpO2 = 91.5 ± 3 %, mean time with SpO2<90 % = 19.4 ± 28 %, mean PtcCO2 = 6.2 ± 0.7 kPa. A low positive correlation was found between hypoxic burden and mean PtcCO2 (r = 0.4, p < 0.001). Multivariate logistic regression model explaining sleep hypoventilation was insufficient with area under ROC curve of hypoxic burden estimated at 0.74 (95 % CI 0.65 to 0.84). Hypoxic burden has low correlation with transcutaneous CO2 pressure and a low ability to diagnose obesity-related sleep hypoventilation.","2024","Sleep medicine"
7,"38980654","Circulating circ_0069094 is Correlated with the Present and Endothelial Injury of Acute Coronary Syndrome.","To investigate the impacts of circ_0069094 on acute coronary syndrome. Real-time polymerase chain reaction was used to detect the expression levels of circ_0069094, and its diagnostic performance was evaluated using ROC curve. Spearman's method was performed for correlation analysis. The levels of SOD, MDA, vWF in ACS rat models were assessed by commercial kits. The activities of H/R cell models were detected by CCK-8, Transwell, flow cytometry. The GO and KEGG were performed to analyze the function of targeted genes of miR-484. The concentration of circ_0069094 was decreased in patients with ACS, ACS rat models and H/R HUVEC models. The dysfunction of SOD, MDA, vWF, LVIDs, LVDD, and LVEF in the ACS models was regulated by the increase of circ_0069094. The viability, migration, apoptosis of the H/R models were regulated by circ_0069094. MiR-484 was a ceRNA of circ_0069094 and mediated the function of circ_0069094.","2024","Journal of cardiovascular translational research"
8,"39306621","Plasma Ceramide C24:0/C16:0 Ratio is Associated with Improved Survival in Patients with Pancreatic Ductal Adenocarcinoma.","Pancreatic ductal adenocarcinoma (PDAC) has a high fatality rate, with surgery as the only curative treatment. Identification of new biomarkers related to survival may help guide discovery of new pathophysiologic pathways and potential therapeutic targets. As long-chain ceramides have been linked to tumor proliferation, we sought to determine if ceramide levels were prognostic in PDAC. Patients from two phase I studies of PDAC were followed for all-cause mortality. Ceramide levels (C24:0, C22:0, and C16:0) were quantified before treatment and at study intervals. Multivariable Cox regression models assessed the association of ceramide levels and mortality after adjusting for other univariable predictors, including time-dependent tumor resection. The ability of repeated ceramide measures to discriminate patients at risk for mortality was also assessed using multivariable modeling and the c-statistic. Higher plasma C16:0 concentration was associated with higher all-cause mortality in univariable and multivariable analysis (adjusted hazard ratio [aHR] 1.41, 95% confidence interval [CI] 1.09-1.82; p < 0.01). In contrast, a higher plasma C24:0/C16:0 ratio was associated with lower all-cause mortality in multivariable analysis (aHR 0.69, 95% CI 0.49-0.97; p = 0.032). Discrimination of mortality was significantly improved with the addition of either plasma C16:0 or C24:0/C16:0 levels, with optimal discrimination occurring using repeated measures of the C24:0/C16:0 ratio (c-statistic 0.73 vs. c-statistic 0.66; p < 0.001). Higher plasma C16:0 and lower C24:0/C16:0 ratios are independently associated with mortality in PDAC and show an ability to improve discrimination of mortality in this deadly disease. Further studies are needed to confirm this association and evaluate this novel pathway for potential therapeutic targets.","2024","Annals of surgical oncology"
9,"39476275","Preoperative identification from occult leiomyosarcomas in laparoscopic hysterectomy and laparoscopic myomectomy: accuracy of the ultrasound scoring system (PRESS-US).","To assess the diagnostic performance and inter-observer agreement of a PREoperative sarcoma scoring based on ultrasound (PRESS-US) in differentiating uterine leiomyosarcoma (uLMS) from leiomyoma (LM). We conducted a retrospective evaluation of patients who underwent surgery and received standardized ultrasound examinations due to the presence of uterine myoma-like masses. Histological diagnosis was used as the reference standard. The masses were analyzed using morphological uterus sonographic assessment criteria, and the diagnostic accuracy of PRESS-US was evaluated using ROC curve analysis. Kappa (κ) statistics were used to assess the inter-observer agreement between a less experienced and an expert radiologist. Among the 646 patients, 632 (97.8%) were diagnosed with LM, and 14 (2.2%) had uLMS. The malignancy rates for low-risk and high-risk patients were 0.35% and 13.48%, respectively. The optimal PRESS-US cutoff was 17.5, resulting in an AUC of 89.7% (95% CI, 0.79-1.00), with a sensitivity of 85.7% and a specificity of 87.8%. The inter-observer agreement between a less experienced and an expert radiologist was excellent (κ = 0.811, P < 0.001). PRESS-US provides effective risk stratification for uLMS for radiologists with different levels of experience, with high reliability. Subgrouping high-risk patients helps in better risk stratification.","2024","La Radiologia medica"
10,"39405923","Machine learning prediction of unexpected readmission or death after discharge from intensive care: A retrospective cohort study.","Intensive care units (ICUs) harbor the sickest patients with the utmost needs of medical care. Discharge from ICU needs to consider the reason for admission and stability after ICU care. Organ dysfunction or instability after ICU discharge constitute potentially life-threatening situations for patients. This is a single center, observational, retrospective cohort study conducted at ICUs at the Kepler University Hospital in Linz, Austria. Patients aged 18 years and above admitted to the study center's ICUs between 2010-01-01 and 2019-10-31 were included in the study. Patients transferred to another ICU, discharged to a different hospital or home, or that died during their ICU stay were excluded. We used machine learning (ML) models to predict unplanned ICU readmission or death using an internal dataset or MIMIC-IV as training data and compared the models with the Stability and Workload Index for Transfer (SWIFT) score. Further, we evaluated the influence of features on the models using Shapley Additive Explanations. The best ML models achieved an area under the curve of the receiver operating characteristic (AUC-ROC) of 0.721 ± 0.029 and a high negative predictive value (NPV) of 0.990 ± 0.002. The most important features were heart rate, peripheral oxygen saturation and arterial blood pressure. Performance of the SWIFT score was worse than the ML models (best AUC-ROC 0.618 ± 0.011). ML models were able to identify patients that will not need unplanned ICU readmission and will not die within 48 h after discharge.","2024","Journal of clinical anesthesia"
