"","doi","article","model","sample_size","study_type","model_type","auc","auc_ci_low","auc_ci_upper","sens","sens_ci_lower","sens_ci_upper","spec","spec_ci_lower","spec_ci_upper","roc","roc_colour","roc_panel","exclude"
"1","10_1002_lary_70332",1,"1",100,"development","diagnostic",0.72,NA,NA,70,NA,NA,66,NA,NA,"yes","red solid","Figure 2A","no"
"2","10_1002_lary_70332",1,"2",100,"development","diagnostic",0.75,NA,NA,70,NA,NA,72,NA,NA,"yes","red solid","Figure 2B","no"
"3","10_1002_lary_70332",1,"3",100,"development","diagnostic",0.75,NA,NA,70,NA,NA,66,NA,NA,"yes","green dotted","Figure 2A","no"
"4","10_1002_lary_70332",1,"4",100,"development","diagnostic",0.77,NA,NA,70,NA,NA,68,NA,NA,"yes","green dotted","Figure 2B","no"
"5","10_1002_lary_70332",1,"5",100,"development","diagnostic",0.49,NA,NA,70,NA,NA,32,NA,NA,"yes","blue dashed","Figure 2A","no"
"6","10_1002_lary_70332",1,"6",100,"development","diagnostic",0.49,NA,NA,70,NA,NA,26,NA,NA,"yes","blue dashed","Figure 2B","no"
"7","10_1002_mds_30194",2,"1",84,"development","diagnostic",0.903,0.839,0.967,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3A","no"
"8","10_1002_mds_30194",2,"2",49,"development","diagnostic",0.886,0.78,0.991,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3C","no"
"9","10_1002_mds_30194",2,"3",49,"development","diagnostic",0.755,0.614,0.896,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3E","no"
"10","10_1002_mds_30194",2,"4",84,"development","diagnostic",0.836,0.751,0.921,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3B","no"
"11","10_1002_mds_30194",2,"5",49,"development","diagnostic",0.769,0.633,0.906,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3D","no"
"12","10_1002_mds_30194",2,"6",49,"development","diagnostic",0.716,0.552,0.88,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3F","no"
"13","10_1002_mds_30256",3,"1",77,"development","diagnostic",0.8,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 1B","no"
"14","10_1002_mds_30256",3,"2",77,"development","diagnostic",0.81,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 1B","no"
"15","10_1002_mds_30256",3,"3",77,"development","diagnostic",0.98,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 1B","no"
"16","10_1002_mds_30256",3,"4",77,"development","diagnostic",0.98,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 1B","no"
"17","10_1002_lary_32149",4,"1",161,"development","prognostic",0.761,NA,NA,53.3,NA,NA,98,NA,NA,"yes","could not determine","Figure 2C","no"
"18","10_1002_lary_32149",4,"2",161,"development","prognostic",0.926,NA,NA,86.7,NA,NA,93.8,NA,NA,"yes","could not determine","Figure 2D","no"
"19","10_1002_lary_70286",5,"1",612,"development","diagnostic",0.832,0.752,0.912,NA,NA,NA,NA,NA,NA,"yes","blue","Figure 3a","no"
"20","10_1002_lary_70286",5,"2",612,"development","diagnostic",0.817,0.737,0.898,NA,NA,NA,NA,NA,NA,"yes","blue","Figure 3b","no"
"21","10_1002_lary_70286",5,"3",612,"development","diagnostic",0.825,0.746,0.904,NA,NA,NA,NA,NA,NA,"yes","blue","Figure 3c","no"
"22","10_1002_lary_70286",5,"4",612,"development","diagnostic",0.846,0.772,0.921,NA,NA,NA,NA,NA,NA,"yes","blue","Figure 3d","no"
"23","10_1002_lary_70286",5,"5",612,"development","diagnostic",0.858,0.784,0.932,77.4,NA,NA,89.1,NA,NA,"yes","blue","Figure 3e","no"
"24","10_1002_lary_70286",5,"6",168,"development","prognostic",0.962,0.928,0.995,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 7a","no"
"25","10_1002_lary_70286",5,"7",168,"development","prognostic",0.75,0.63,0.87,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 7b","no"
"26","10_1002_lary_70286",5,"8",168,"development","prognostic",0.814,0.714,0.913,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 7c","no"
"27","10_1016_j_ijrobp_2025_07_1420",1,"1",158,"development","prognostic",0.68,NA,NA,NA,NA,NA,NA,NA,NA,"no","could not determine","could not determine","no"
"28","10_1016_j_ijrobp_2025_07_1420",1,"2",158,"development","prognostic",0.67,NA,NA,NA,NA,NA,NA,NA,NA,"no","could not determine","could not determine","no"
"29","10_1016_j_ijrobp_2025_07_1420",1,"3",158,"development","prognostic",0.71,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 1C","no"
"30","10_1016_j_ijrobp_2025_07_1420",1,"4",158,"development","prognostic",0.71,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 1C","no"
"31","10_1016_j_ijrobp_2025_07_1420",1,"5",158,"development","prognostic",0.54,NA,NA,NA,NA,NA,NA,NA,NA,"no","could not determine","could not determine","no"
"32","10_1016_j_ijrobp_2025_07_1420",1,"6",158,"development","prognostic",0.61,NA,NA,NA,NA,NA,NA,NA,NA,"no","could not determine","could not determine","no"
"33","10_1016_j_ijrobp_2025_07_1420",1,"7",158,"development","prognostic",0.6,NA,NA,NA,NA,NA,NA,NA,NA,"no","could not determine","could not determine","no"
"34","10_1016_j_ijrobp_2025_07_1420",1,"8",158,"development","prognostic",0.63,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 1D","no"
"35","10_1016_j_ijrobp_2025_07_1420",1,"9",158,"development","prognostic",0.73,NA,NA,NA,NA,NA,NA,NA,NA,"no","could not determine","could not determine","no"
"36","10_1016_j_ijrobp_2025_07_1420",1,"10",158,"development","prognostic",0.73,NA,NA,NA,NA,NA,NA,NA,NA,"no","could not determine","could not determine","no"
"37","10_1016_j_ijrobp_2025_07_1420",1,"11",158,"development","prognostic",0.69,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2C","no"
"38","10_1016_j_ijrobp_2025_07_1420",1,"12",158,"development","prognostic",0.7,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2C","no"
"39","10_1016_j_ijrobp_2025_07_1420",1,"13",158,"development","prognostic",0.65,NA,NA,NA,NA,NA,NA,NA,NA,"no","could not determine","could not determine","no"
"40","10_1016_j_ijrobp_2025_07_1420",1,"14",158,"development","prognostic",0.67,NA,NA,NA,NA,NA,NA,NA,NA,"no","could not determine","could not determine","no"
"41","10_1016_j_ijrobp_2025_07_1420",1,"15",158,"development","prognostic",0.61,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2D","no"
"42","10_1016_j_ijrobp_2025_07_1420",1,"16",158,"development","prognostic",0.62,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2D","no"
"43","10_1016_j_ijrobp_2025_10_008",2,"1",160,"development","prognostic",0.66,0.64,0.67,57,55,60,64,62,66,"no","could not determine","could not determine","no"
