"key","pmid","title","abstract","publicationDate","journal"
1,"39963665","The association between eight complete blood count-derived inflammatory markers and muscle health.","Most studies have evaluated sarcopenia and muscle health solely based on muscle mass. This study comprehensively examined the associations between eight inflammatory indicators and muscle mass and strength, with the aim of identifying an indicator capable of evaluating muscle health across multiple dimensions. This study included 10,440 participants from the National Health and Nutrition Examination Survey (NHANES, 2011-2018) and 5,384 participants from NHANES (2011-2014). Multivariate logistic regression, smooth curve fitting, restricted cubic spline (RCS) analysis, subgroup analysis, and Spearman's correlation were used to comprehensively assess the associations between the eight inflammatory indicators and muscle mass and strength. Receiver operating characteristic (ROC) curves were used to compare the predictive abilities of the different indices for low muscle mass and muscle strength. Additionally, NHANES data were cross-validated with data from 554 patients at our hospital to evaluate the ability of the systemic immune inflammatory index (SII) to distinguish between low muscle mass and strength. After controlling for all potential confounding factors, multiple logistic regression analysis revealed that apart from the platelet-to-lymphocyte ratio (PLR), monocyte-to-lymphocyte ratio (MLR), and derived NLR (dNLR), the neutrophil-to-monocyte-plus-lymphocyte ratio (NMLR), neutrophil-to-lymphocyte ratio (NLR), SII, systemic inflammation response index (SIRI), and pan-immune-inflammation value (PIV) were significantly negatively correlated with muscle mass and strength. However, NMLR and NLR were significantly associated with changes in muscle mass only in Q4 (P < 0.05). In the stratified analysis by body mass index (BMI), only the SII, NLR, and NMLR were unaffected by BMI. In the cross-validation, the predictive performance of the SII for low muscle mass [area under the curve (AUC) = 0.699, 0.677, and 0.685] and low muscle strength (AUC = 0.857, 0.849, and 0.840) demonstrated a good reference value. RCS and smooth curve fitting analyses indicated that most inflammatory markers were linearly correlated with muscle health (P < 0.05). Compared with other inflammatory markers (e.g., PIV and dNLR), the SII demonstrated a more robust predictive ability, was less influence by covariates, and exhibited high generalization performance in internal and external validation. SII may be crucial in identifying ""hidden sarcopenia"" and the early stages of muscle functional decline.","2025","Frontiers in nutrition"
2,"39963283","Association of body roundness index with cardiovascular disease in patients with cardiometabolic syndrome: a cross-sectional study based on NHANES 2009-2018.","Cardiometabolic syndrome (CMS), marked by abdominal obesity and metabolic dysregulation, is associated with a heightened risk of cardiovascular disease (CVD). Compared to the traditional anthropometric predictors represented by body mass index (BMI) and waist circumference (WC), body roundness index (BRI) appears to provide a more accurate reflection of the abdominal fat distribution associated with metabolic diseases. Therefore, this study intends to investigate the association of BRI with the risk of CVD and its components including congestive heart failure (CHF), coronary heart disease (CHD), angina, heart attack, and stroke in patients with CMS. At the same time, we hypothesized that BRI would identify CVD better than BMI or WC. Data from the 2009-2018 National Health and Nutrition Examination Survey (NHANES). Logistic regression models were mainly utilized to evaluate the relationship between BRI and CVD in patients with CMS, including smooth curve analysis, threshold effects analysis, subgroup analysis and multiple imputation. In addition, receiver operating characteristic (ROC) curves were used to assess the ability of BRI to predict CVD. The logistic regression model showed a positive association between the BRI and CVD. The highest quartile of BRI (Q4) showing the strongest association with CVD. The smoothed curve revealed a linear relationship between BRI and CVD, but a U-shaped association between the BRI and CHF. For CVD, stratified analyses did not show significant difference between strata. For CHF, BMI interacted with the association, with BRI being associated with decreased risk of CHF in a subgroup of normal weight subjects and increased risk of CHF in a subgroup of obese subjects. The multiple imputation further confirmed the robustness of these results. Additionally, the ROC curve indicated that BRI, BMI and WC had predictive power for CVD and CHF (AUC > 0.05). BRI has similar predictive power to WC but better than BMI. An elevated BRI is associated with a heightened risk of CVD in patients with CMS. BRI has similar ability to predict CVD and CHF as WC, but superior to BMI.","2025","Frontiers in endocrinology"
3,"39963268","Potential biomarkers and immune infiltration linking endometriosis with recurrent pregnancy loss based on bioinformatics and machine learning.","Endometriosis (EMs) is a chronic inflammatory disease characterized by the presence of endometrial tissue in the non-uterine cavity, resulting in dysmenorrhea, pelvic pain, and infertility. Epidemiologic data have suggested the correlation between EMs and recurrent pregnancy loss (RPL), but the pathological mechanism is unclear. This study aims to investigate the potential biomarkers and immune infiltration in EMs and RPL, providing a basis for early detection and treatment of the two diseases. Two RPL and six EMs transcriptomic datasets from the Gene Expression Omnibus (GEO) database were used for differential analysis via limma package, followed by weighted gene co-expression network analysis (WGCNA) for key modules screening. Protein-protein interaction (PPI) network and two machine learning algorithms were applied to identify the common core genes in both diseases. The diagnostic capabilities of the core genes were assessed by receiver operating characteristic (ROC) curves. Moreover, immune cell infiltration was estimated using CIBERSORTx, and the Cancer Genome Atlas (TCGA) database was employed to elucidate the role of key genes in endometrial carcinoma (EC). 26 common differentially expressed genes (DEGs) were screened in both diseases, three of which were identified as common core genes (MAN2A1, PAPSS1, RIBC2) through the combination of WGCNA, PPI network, and machine learning-based feature selection. The area under the curve (AUC) values generated by the ROC indicates excellent diagnostic powers in both EMs and RPL. The key genes were found to be significantly associated with the infiltration of several immune cells. Interestingly, MAN2A1 and RIBC2 may play a predominant role in the development and prognostic stratification of EC. We identified three key genes linking EMs and RPL, emphasizing the heterogeneity of immune infiltration in the occurrence of both diseases. These findings may provide new mechanistic insights or therapeutic targets for further research of EMs and RPL.","2025","Frontiers in molecular biosciences"
4,"39963156","Comparative analysis of retinal vascular structural parameters in populations with different glucose metabolism status based on color fundus photography and artificial intelligence.","Measure and analyze retinal vascular parameters in individuals with varying glucose metabolism, explore preclinical retinal microstructure changes related to diabetic retinopathy (DR), and assess glucose metabolism's impact on retinal structure. The study employed a cross-sectional design encompassing a 4-year period from 2020 to 2024. Fundus photographs from 320 individuals (2020-2024) were categorized into non-diabetes, pre-diabetes, type 2 diabetes mellitus (T2DM) without DR, and T2DM with mild-to-moderate non-proliferative DR (NPDR) groups. An artificial intelligence (AI)-based automatic measurement system was used to quantify retinal blood vessels in the fundus color photographic images, enabling inter-group parameter comparison and analysis of significant differences. Between January 2020 and June 2024, fundus color photographs were collected from 320 individuals and categorized into four groups: non-diabetes (n = 54), pre-diabetes (n = 71), T2DM without overt DR (n = 144), and T2DM with mild-to-moderate NPDR (n = 51). In pairwise comparisons among individuals with pre-diabetes, T2DM without DR, and T2DM with mild-to-moderate NPDR. Fasting blood glucose (FBG), glycated hemoglobin (HbA1c), systolic blood pressure (SBP), and diastolic blood pressure (DBP) were significantly different (P < 0.05). Within the T2DM population, FBG, HbA1c, age, SBP, and DBP were significant predictors for mild-to-moderate NPDR (P < 0.05). Average venous branching number (branch_avg_v) was significantly different among pre-diabetes, T2DM without DR, and T2DM with mild-to-moderate NPDR groups. In patients with T2DM with mild-to-moderate NPDR, Average length of arteries (length_avg_a) and average length of veins (length_avg_v) increased, whereas branch_avg_v, average venous branching angle (angle_avg_v), average venous branching asymmetry (asymmetry_avg_v),overall length density (vessel_length_density), and vessel area density (vessel_density) decreased significantly (P < 0.05). Logistic regression analysis identified length_avg_a, branch_avg_v, angle_avg_v, asymmetry_avg_v, vessel_length_density, and vessel_density as independent predictors of mild-to-moderate NPDR in patients with T2DM. Receiver Operating Characteristic (ROC) curve analysis demonstrated that length_avg_a, length_avg_v, branch_avg_v, angle_avg_v, asymmetry_avg_v, vessel_length_density, and vessel_density had diagnostic value for mild-to-moderate NPDR (P < 0.05). In individuals diagnosed with T2DM, specific retinal vascular parameters, such as branch_avg_v and vessel_density, demonstrate a significant correlation with mild-to-moderate NPDR. These parameters hold promise as preclinical biomarkers for detecting vascular abnormalities associated with DR.","2025","Frontiers in cell and developmental biology"
5,"39959754","Association Between Dietary Inflammatory Index and Triglyceride Glucose-Body Mass Index with Iron Deficiency in Reproductive Age Women: Evidence from NHANES 2005-2018.","There is a growing focus on the role of dietary factors and metabolic conditions in the evolution and progression of iron deficiency (ID), yet few studies have examined the underlying mechanisms. Dietary Inflammatory Index (DII) is a metric that gauges the inflammatory potential of an overall diet. This study explores the association between DII and triglyceride glucose-body mass index (TyG-BMI) with ID in reproductive-age women. This analysis utilized data from 2311 reproductive-age women in the National Health and Nutrition Examination Survey (NHANES) from 2005 to 2018. ID was identified using serum ferritin and transferrin receptor (TfR). The association between DII, TyG-BMI and ID was assessed using weighted logistic regression, linear regression and restricted cubic spline (RCS) models, with receiver operating characteristic (ROC) curve analysis for diagnostic power. Mediation effects of TyG-BMI were further explored by causal mediation analysis. Among reproductive-age women, both DII and TyG-BMI were significantly positively associated with ID (DII: OR = 1.32, 95% CI 1.19, 1.48; TyG-BMI: OR = 1.13, 95% CI 1.02, 1.35). There is a close relationship between the DII index and TfR (β= 1.17, 95% CI 1.03, 1.13). RCS analysis indicated that the relationships were mostly linear (P-overall < 0.05, P-nonlinear > 0.05). Furthermore, TyG-BMI mediated 5.19%, 12.83%, and 5.63% of the associations between DII and ID, Ferritin, and transferrin receptor (TfR), respectively. The findings suggest that targeted interventions to enhance dietary practices, nutritional intake, and overall metabolic well-being may result in substantial amelioration of ID among reproductive women.","2025","International journal of women's health"
6,"39959621","Correlation between liver fibrosis in non-alcoholic fatty liver disease and insulin resistance indicators: a cross-sectional study from NHANES 2017-2020.","Non-alcoholic fatty liver disease (NAFLD) is a leading cause of chronic liver disease worldwide, with liver fibrosis (LF) being a crucial pathological feature in the progression of NAFLD. Insulin resistance (IR) is believed to play an important role in the pathogenesis of NAFLD and the development of LF. This study aims to explore the relationship between various IR indicators and LF in patients with NAFLD. This study utilized data from the National Health and Nutrition Examination Survey 2017-2020 cycles. Liver steatosis and fibrosis were assessed using liver ultrasound transient elastography. To assess the association between multiple IR indicators and LF, the study methodology included univariate and multivariate logistic regression, as well as restricted cubic spline (RCS) analysis. Subsequently, we used multivariate logistic regression to develop and validate a predictive model for LF, and evaluated the model's performance using the area under the curve (AUC) and calibration curve. A total of 904 patients were included in the final analysis. Among these NAFLD patients, 153 (16.92%) had LF. Compared to non-LF patients, LF patients had significantly higher body mass index (BMI), waist circumference (WC), alanine aminotransferase (ALT), aspartate aminotransferase (AST), gamma-glutamyl transferase (GGT), HbA1c, and fasting blood glucose (FBG) levels (all p < 0.05). Analysis of IR indicators showed that LF patients had significantly higher levels of TyG, TyG-WHtR, TyG-BMI, TyG-WC, TyG-GGT, METS-IR, and HOMA-IR (all p < 0.05). After adjusting for covariates, TyG-WHtR remained an independent risk factor (OR=2.69; 95% CI: 2.08-3.47), indicating a strong correlation with LF. The developed nomogram, incorporating AST, TyG, TyG-BMI, and diabetes, showed an AUC of 0.809 (95% CI: 0.771-0.847), indicating good predictive performance for LF in NAFLD patients. This study confirms that a significant association between various IR and LF in NAFLD patients, and the developed nomogram provides a practical tool for early risk assessment. These findings underscore the clinical value of incorporating IR indices into routine practice to identify high-risk patients, enabling timely interventions to prevent fibrosis progression and improve outcomes.","2025","Frontiers in endocrinology"
7,"39959618","Association between the body roundness index and female infertility: a cross-sectional study from NHANES.","Infertility is strongly associated with obesity. The body roundness index (BRI) is a more accurate assessment of visceral fat content than the body mass index (BMI). However, current evidence on the association between visceral fat accumulation and infertility remains insufficient and controversial. Therefore, we utilized the 2017-2020 National Health and Nutrition Examination Survey (NHANES) database to explore the correlation between BRI and infertility. We used multiple logistic regression, smoothed curve fitting, subgroup analyses, and interaction tests to investigate the potential association between BRI and infertility. Additionally, we assessed the ability of BRI and BMI to predict infertility risk using receiver operating curve (ROC) analysis and calculate the area under the curve (AUC),sensitivity, and specificity. In the study, 1463 women aged 20 to 45 participated, and 172 of them were found to be infertile. After adjusting for all factors except body measurements, the findings indicated that for each one-unit increase in BRI, there was a 19% increase in the risk of infertility (OR = 1.19, 95% CI 1.05, 1.34). The analysis also revealed a positive nonlinear relationship between BRI and infertility. Furthermore, based on the ROC curves, it was observed that BRI was a more reliable predictor of infertility risk compared to BMI (BRI AUC = 0.5773, BMI AUC = 0.5681). This study demonstrated a positive association between higher BRI values and infertility among adult women in the United States and showed a stronger association than BMI.","2025","Frontiers in endocrinology"
8,"39959359","Clinical performance of the fully automated Lumipulse plasma p-tau217 assay in mild cognitive impairment and mild dementia.","Plasma phosphorylated tau (p-tau)217 is a leading blood-biomarker for the detection of amyloid beta (Aβ) pathology. We assessed the performance of a fully automated plasma p-tau217 immunoassay to detect Aβ pathology in mild cognitive impairment (MCI)/mild dementia. Paired plasma and cerebrospinal fluid (CSF) samples were obtained at time of diagnostic lumbar puncture (LP) in a specialist memory service. Plasma p-tau217 was measured using the Lumipulse immunoassay platform and ability to detect CSF-defined Aβ positivity assessed. Of 148 participants (69.4 ± 6.5 years; 54.1% female), 101 had MCI and 47 mild dementia. Median plasma p-tau217 was > 4-fold higher in Aβ+ vs Aβ- individuals with an area under the curve of 0.92 (0.87-0.97). Application of 90%, 95%, and 97.5% sensitivity/specificity thresholds for plasma p-tau217 may have obviated the need for more than half of LPs. Our real-world data support the clinical use of fully automated plasma p-tau217 immunoassays, although further studies in more diverse cohorts are required. Plasma phosphorylated tau (p-tau)217 was measured using a fully automated immunoassay (Lumipulse).P-tau217 was > 4-fold higher in amyloid beta (Aβ)+ versus Aβ- individuals.Plasma p-tau217 had an area under the curve of 0.92 for detection of Aβ status.Using a previously proposed two-threshold approach may avoid more than half of lumbar punctures.","2025","Alzheimer's & dementia (Amsterdam, Netherlands)"
9,"39958862","Polarimetric imaging of peripheral nerves: an intraoperative aid.","In this work, we present a real-time method to aid intraoperative peripheral nerve identification. Using LEDs as the light sources, the device contains a driving motor that rotates a pair of orthogonally oriented linear polarizers. By performing lock-in processing to frames taken under the rotating crossed polarization imaging (RXPI) system, the AC components of the periodic intensity signal of chicken tissues are acquired and compared. With an area under the curve (AUC) of 93%, the chicken sciatic nerve is distinct for automatic identification. In both chicken thigh and cadaver arm models, the contrasts of nerve tissues are successfully enhanced in the lock-in processed output image. Real-time automatic nerve masking is successfully demonstrated in the chicken model using a portable prototype weighing 525 g. In conclusion, the RXPI system with lock-in processing methods can potentially serve as an intraoperative nerve identification aid.","2025","Biomedical optics express"
10,"39958828","Risk factors for multidrug resistance in pulmonary tuberculosis patients with diabetes mellitus.","This study aimed to investigate the risk factors for multidrug resistance (MDR) in patients with pulmonary tuberculosis (PTB) and diabetes mellitus (DM), including those with and without prior TB treatment. A retrospective study was conducted from 1 January 2021, to 31 December 2023, at Wenzhou Central Hospital. Patients diagnosed with PTB and DM were included, with multidrug-resistant tuberculosis (MDR-TB) defined as resistance to at least rifampicin and isoniazid. Data on demographics, clinical symptoms, laboratory tests, and treatment history were collected. Multivariate logistic regression analysis was used to identify independent risk factors for MDR, and receiver operating characteristic (ROC) curves were constructed to evaluate the predictive value of these factors. A total of 318 patients were analyzed, with 253 in the non-MDR group and 65 in the MDR group. Significant independent predictors of MDR included a history of TB treatment, smoking, and elevated hemoglobin A1c (HbA1c) levels. ROC curve analysis showed that the combination of TB treatment history, smoking history, and HbA1c levels had an area under the curve (AUC) of 0.809, with 64.62% sensitivity and 82.61% specificity. In patients without prior TB treatment, smoking history and HbA1c were identified as independent risk factors, with an AUC of 0.771 for their combination. For patients with prior TB treatment, place of residence and pulmonary cavity were independent predictors, with an AUC of 0.802 for their combination. This study highlights the importance of smoking history, HbA1c levels, place of residence, and pulmonary cavity as risk factors for MDR in PTB and DM patients. Early identification of these risk factors can aid in the timely diagnosis and treatment of MDR-TB, potentially reducing its burden. Further research is needed to develop targeted interventions based on these findings.","2025","Frontiers in medicine"
