"","X","doi","article","model","sample_size","study_type","model_type","auc","auc_ci_low","auc_ci_upper","sens","sens_ci_lower","sens_ci_upper","spec","spec_ci_lower","spec_ci_upper","roc","roc_colour","roc_panel","exclude"
"2886",3748,"10_1212_wnl_0000000000213556",5,23,40,"development","diagnostic",0.943,0.873,1,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2B","no"
"6715",8403,"10_1016_j_bjps_2025_10_020",3,1,24,"development","prognostic",0.695,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"Supplementary Figure 1","no"
"2079",2779,"10_1007_s00259-025-07134-0",1,2,341,"development","diagnostic",0.865,0.829,0.901,83.7,NA,NA,72.8,NA,NA,"yes","orange","Figure 4a","no"
"4555",5722,"10_3389_fnut_2025_1560655",5,12,525,"development","prognostic",0.74,0.689,0.79,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3E","no"
"7657",9788,"10_1016_j_ijom_2025_03_003",2,4,435,"internal validation","diagnostic",0.95,NA,NA,84.6,84.1,85.2,95.6,95.4,95.7,"yes","orange","Figure 2 Class III panel","no"
"5323",6719,"10_3390_jcm15010273",5,5,238,"development","diagnostic",0.791,0.719,0.861,77,NA,NA,75.7,NA,NA,"yes","dashed red","Figure 2","no"
"1200",1594,"10_1007_s00198-025-07423-2",1,2,153,"development","diagnostic",0.666,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3A","no"
"2781",3617,"10_1186_s40644-025-00856-2",4,33,156,"development","diagnostic",0.912,0.855,0.951,85.7,74.1,97.3,85.1,78.8,91.5,"yes","could not determine","Figure S5","no"
"408",601,"10_1016_j_jocmr_2025_101982",5,11,57,"development","diagnostic",0.778,NA,NA,66.7,NA,NA,83.3,NA,NA,"yes",NA,"Figure 7B","no"
"3440",4421,"10_3389_fcvm_2025_1613975",5,13,157,"internal validation","prognostic",0.598,NA,NA,NA,NA,NA,NA,NA,NA,"yes","red","Figure 4C","no"
"3507",4494,"10_3389_fendo_2025_1490229",1,1,5561,"development","prognostic",0.76,0.58,0.93,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 5A","no"
"6869",8631,"10_1016_j_cllc_2025_10_006",2,3,64,"development","diagnostic",0.996,0.982,1,95.2,NA,NA,100,NA,NA,"yes",NA,"Figure 3","no"
"6731",8425,"10_1016_j_canlet_2025_217456",2,13,130,"development","diagnostic",0.972,0.948,0.996,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure S4C","no"
"3907",5014,"10_3389_fmed_2025_1529648",3,11,126,"development","diagnostic",0.816,0.743,0.889,64.6,NA,NA,96.7,NA,NA,"yes","could not determine","Figure 5D","no"
"6215",7798,"10_1002_dad2_70229",4,6,5149,"development","prognostic",0.78,0.71,0.86,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3B","no"
"5723",7231,"10_1007_s00586-025-09533-1",3,7,314,"development","prognostic",0.808,NA,NA,80.7,NA,NA,66.4,NA,NA,"yes","could not determine","Figure 5B","no"
"1071",1442,"10_1021_acs_jproteome_5c00626",5,4,119,"development","diagnostic",0.871,0.8,0.931,76.3,NA,NA,80,NA,NA,"yes","black","Figure 3","no"
"6122",7704,"10_1007_s11695-025-07994-3",5,6,77,"internal validation","prognostic",0.96,NA,NA,95,NA,NA,78,NA,NA,"yes","red","Figure 2B","no"
"7239",9226,"10_1016_j_ejrad_2025_111983",5,9,144,"external validation","diagnostic",0.74,0.68,0.81,58,46,69,90,83,97,"yes","could not determine","Figure 4B","no"
"991",1344,"10_1016_j_ultrasmedbio_2025_05_005",4,3,205,"external validation","diagnostic",0.8,0.7,0.9,54,NA,NA,92,NA,NA,"yes","blue","Figure 7C","no"
"753",1047,"10_1016_j_scitotenv_2025_180003",1,5,1953,"development","diagnostic",0.8,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4A","no"
"7363",9391,"10_1016_j_ejso_2025_109723",1,2,651,"development","prognostic",0.6,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2A","no"
"3694",4773,"10_3389_fendo_2025_1593917",2,17,5584,"development","prognostic",0.74,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 3","no"
"4206",5313,"10_3389_fmed_2025_1615136",2,11,191,"development","diagnostic",0.676,0.604,0.742,68.42,NA,NA,69.23,NA,NA,"yes","could not determine","Figure 4","no"
"3577",4649,"10_1007_s00330-025-11640-y",5,14,195,"development","diagnostic",0.73,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4B","no"
"1544",2049,"10_1097_brs_0000000000005595",3,8,787,"development","prognostic",0.857,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 2A","no"
"5813",7347,"10_1007_s10143-025-03194-w",3,11,82,"development","prognostic",0.75,0.62,0.87,69.6,NA,NA,79.7,NA,NA,"yes","blue","Figure 4","no"
"4806",5979,"10_3389_fphar_2025_1576467",4,4,192,"development","diagnostic",0.943,NA,NA,NA,NA,NA,NA,NA,NA,"yes",NA,"Figure 2H","no"
"2916",3787,"10_1245_s10434-025-18761-0",4,7,426,"development","diagnostic",0.7,NA,NA,58.69,NA,NA,72.3,NA,NA,"yes","could not determine","Figure 3","no"
"2557",3384,"10_1186_s13550-025-01245-3",3,6,206,"development","diagnostic",0.91,NA,NA,NA,NA,NA,NA,NA,NA,"yes","could not determine","Figure 4","no"
"1257",1666,"10_1080_0886022x_2025_2529452",3,5,897,"development","prognostic",0.824,NA,NA,86.5,NA,NA,85.1,NA,NA,"yes",NA,"Figure 3A","no"
"5944",7481,"10_1007_s10238-025-01761-5",5,4,243,"development","diagnostic",0.75,NA,NA,62,NA,NA,88,NA,NA,"yes","could not determine","Figure 3","no"
"537",763,"10_1016_j_numecd_2025_103963",2,26,6785,"development","prognostic",0.75,0.71,0.78,58,NA,NA,80,NA,NA,"yes","pink/red","Figure 2","no"
"7094",8994,"10_1016_j_cyto_2025_156975",3,7,148,"development","diagnostic",0.799,0.717,0.882,71.4,NA,NA,77.8,NA,NA,"yes","could not determine","Figure 3C","no"
