"","doi","sample_size","claude","hand","agreement"
"1","10_1177_17562864251374903",171,"missing","present","hand_only"
"2","10_1007_s00198-025-07423-2",153,"missing","present","hand_only"
"3","10_1002_jcla_25159",703,"missing","present","hand_only"
"4","10_1002_dad2_70229",1030,"missing","present","hand_only"
"5","10_1002_mp_17672",407,"missing","present","hand_only"
"6","10_1002_ijgo_70609",283,"missing","present","hand_only"
"7","10_1371_journal_pmed_1004665",301,"missing","present","hand_only"
"8","10_1002_btm2_70029",99,"missing","present","hand_only"
"9","10_1002_ijgo_70196",333,"missing","present","hand_only"
"10","10_1002_mp_17882",54,"missing","present","hand_only"
"11","10_1002_ana_27260",7577,"missing","present","hand_only"
"12","10_1007_s00234-025-03723-w",75,"missing","present","hand_only"
"13","10_1371_journal_pmed_1004665",301,"missing","present","hand_only"
"14","10_1002_jmri_70183",60,"missing","present","hand_only"
"15","10_1371_journal_pmed_1004665",301,"missing","present","hand_only"
"16","10_2106_jbjs_24_01601",203,"missing","present","hand_only"
"17","10_1016_j_atherosclerosis_2025_119212",318,"missing","present","hand_only"
"18","10_1002_mp_17882",54,"missing","present","hand_only"
"19","10_1038_s41380-025-03192-w",59,"missing","present","hand_only"
"20","10_1002_mp_17672",407,"missing","present","hand_only"
"21","10_1371_journal_pmed_1004665",301,"missing","present","hand_only"
"22","10_2106_jbjs_24_01601",203,"missing","present","hand_only"
"23","10_1002_mp_17672",407,"missing","present","hand_only"
"24","10_1002_mp_17672",407,"missing","present","hand_only"
"25","10_1002_ueg2_70004",92,"missing","present","hand_only"
"26","10_1371_journal_pgen_1011718",11106,"missing","present","hand_only"
"27","10_1002_mp_17882",54,"missing","present","hand_only"
"28","10_1038_s41380-025-03192-w",59,"missing","present","hand_only"
"29","10_1002_jmri_29819",279,"missing","present","hand_only"
"30","10_1002_mp_17882",54,"missing","present","hand_only"
"31","10_1016_j_injury_2025_112934",72,"missing","present","hand_only"
"32","10_1021_acs_jcim_4c02130",510,"missing","present","hand_only"
"33","10_1371_journal_pmed_1004665",301,"missing","present","hand_only"
"34","10_1002_mp_17672",407,"missing","present","hand_only"
"35","10_1038_s41380-025-03192-w",59,"missing","present","hand_only"
"36","10_1021_acs_jcim_4c02130",510,"missing","present","hand_only"
"37","10_1007_s00234-025-03582-5",20,"missing","present","hand_only"
"38","10_1002_lary_70332",40,"missing","present","hand_only"
"39","10_2106_jbjs_24_01601",203,"missing","present","hand_only"
"40","10_1002_mp_17672",407,"missing","present","hand_only"
"41","10_2106_jbjs_24_01601",203,"missing","present","hand_only"
"42","10_1007_s00234-025-03590-5",93,"missing","present","hand_only"
"43","10_1016_j_acra_2025_02_046",230,"missing","present","hand_only"
"44","10_1002_mp_17672",407,"missing","present","hand_only"
"45","10_1371_journal_pmed_1004665",301,"missing","present","hand_only"
"46","10_1002_mp_17672",407,"missing","present","hand_only"
"47","10_1016_j_injury_2025_112934",72,"missing","present","hand_only"
"48","10_1002_ijgo_70196",333,"missing","present","hand_only"
"49","10_1007_s00234-025-03732-9",211,"missing","present","hand_only"
"50","10_1002_1878-0261_70084",758,"missing","present","hand_only"
"51","10_3389_fphar_2025_1598756",117,"present","missing","claude_only"
"52","10_1007_s10143-025-03719-3",206,"present","missing","claude_only"
"53","10_1002_mp_17672",222,"present","missing","claude_only"
"54","10_1016_j_ejrad_2025_112272",44,"present","missing","claude_only"
"55","10_1016_j_jclinepi_2025_111978",4848,"present","missing","claude_only"
"56","10_1038_s41380-025-03192-w",42,"present","missing","claude_only"
"57","10_2106_jbjs_24_01601",1024,"present","missing","claude_only"
"58","10_1038_s41380-025-03192-w",39,"present","missing","claude_only"
