"","doi","sens","claude","hand","agreement"
"1","10_1007_s00234-025-03732-9",91,"missing","present","hand_only"
"2","10_1007_s00234-025-03732-9",75.9,"missing","present","hand_only"
"3","10_1002_lary_70332",70,"missing","present","hand_only"
"4","10_1016_j_cmpb_2025_108979",89,"missing","present","hand_only"
"5","10_2106_jbjs_24_01601",30,"missing","present","hand_only"
"6","10_2106_jbjs_24_01601",39,"missing","present","hand_only"
"7","10_3389_fmed_2025_1471746",60,"missing","present","hand_only"
"8","10_2106_jbjs_24_01601",66.1,"missing","present","hand_only"
"9","10_1007_s00234-025-03732-9",100,"missing","present","hand_only"
"10","10_1002_jmri_70205",93.1,"missing","present","hand_only"
"11","10_1007_s00234-025-03732-9",70.2,"missing","present","hand_only"
"12","10_2106_jbjs_24_01601",70.4,"missing","present","hand_only"
"13","10_3389_fnut_2025_1574063",89,"missing","present","hand_only"
"14","10_3389_fendo_2025_1650116",87.4,"missing","present","hand_only"
"15","10_2106_jbjs_24_01601",61.1,"missing","present","hand_only"
"16","10_1002_jmri_29819",79,"missing","present","hand_only"
"17","10_1002_lary_70332",70,"missing","present","hand_only"
"18","10_2106_jbjs_24_01601",86.4,"missing","present","hand_only"
"19","10_2106_jbjs_24_01601",59.4,"missing","present","hand_only"
"20","10_2106_jbjs_24_01601",67,"missing","present","hand_only"
"21","10_1007_s00234-025-03698-8",57.7,"missing","present","hand_only"
"22","10_3348_kjr_2024_1202",85.4,"missing","present","hand_only"
"23","10_1002_lary_32149",55.3,"missing","present","hand_only"
"24","10_2106_jbjs_24_01601",97.6,"missing","present","hand_only"
"25","10_1002_dad2_70041",56,"missing","present","hand_only"
"26","10_1007_s10096-025-05354-8",68.1,"missing","present","hand_only"
"27","10_2106_jbjs_24_01601",83.2,"missing","present","hand_only"
"28","10_1002_ccd_31535",82.4,"missing","present","hand_only"
"29","10_1007_s00234-025-03732-9",100,"missing","present","hand_only"
"30","10_1007_s00234-025-03698-8",96.9,"missing","present","hand_only"
"31","10_3348_kjr_2024_1202",54.2,"missing","present","hand_only"
"32","10_1007_s00234-025-03723-w",80.38,"missing","present","hand_only"
"33","10_2106_jbjs_24_01601",76.1,"missing","present","hand_only"
"34","10_1016_j_ejrad_2025_112560",67.8,"missing","present","hand_only"
