"","doi","spec","claude","hand","agreement"
"1","10_1007_s00234-025-03732-9",70.3,"missing","present","hand_only"
"2","10_1016_j_cmpb_2025_108979",90,"missing","present","hand_only"
"3","10_3389_fmed_2025_1615136",60.43,"missing","present","hand_only"
"4","10_3389_fnagi_2025_1582687",72.4,"missing","present","hand_only"
"5","10_2106_jbjs_24_01601",97.6,"missing","present","hand_only"
"6","10_2106_jbjs_24_01601",96.3,"missing","present","hand_only"
"7","10_1016_j_jad_2025_120197",84.4,"missing","present","hand_only"
"8","10_2106_jbjs_24_01601",99.6,"missing","present","hand_only"
"9","10_1007_s00234-025-03732-9",74.1,"missing","present","hand_only"
"10","10_1002_jmri_70205",46.4,"missing","present","hand_only"
"11","10_1016_j_cmpb_2025_108979",96.4,"missing","present","hand_only"
"12","10_1245_s10434-025-17656-4",71.4,"missing","present","hand_only"
"13","10_3389_fnut_2025_1574063",93,"missing","present","hand_only"
"14","10_3389_fendo_2025_1698247",95.4,"missing","present","hand_only"
"15","10_2106_jbjs_24_01601",95.9,"missing","present","hand_only"
"16","10_1002_jmri_70183",29,"missing","present","hand_only"
"17","10_3389_fmed_2025_1615136",75.54,"missing","present","hand_only"
"18","10_2106_jbjs_24_01601",100,"missing","present","hand_only"
"19","10_2106_jbjs_24_01601",78.6,"missing","present","hand_only"
"20","10_2106_jbjs_24_01601",92.9,"missing","present","hand_only"
"21","10_1007_s00234-025-03732-9",92.3,"missing","present","hand_only"
"22","10_1016_j_ijmedinf_2025_105901",83.9,"missing","present","hand_only"
"23","10_1002_jper_70032",80.3,"missing","present","hand_only"
"24","10_3389_fendo_2025_1698247",92.8,"missing","present","hand_only"
"25","10_2106_jbjs_24_01601",84.4,"missing","present","hand_only"
"26","10_1002_dad2_70116",89.81,"missing","present","hand_only"
"27","10_3389_fnut_2025_1574063",96,"missing","present","hand_only"
"28","10_3389_fendo_2025_1518764",70.2,"missing","present","hand_only"
"29","10_1002_aur_70054",1,"missing","present","hand_only"
"30","10_1007_s00234-025-03732-9",88.5,"missing","present","hand_only"
