,doi,spec,claude,hand,agreement,in_article,correct,location,reason
1,10_1007_s00234-025-03732-9,100,missing,present,hand_only,TRUE,TRUE,table,na
2,10_1016_j_cmpb_2025_108979,90.6,missing,present,hand_only,FALSE,FALSE,table,input recall not precision
3,10_3389_fmed_2025_1615136,71.79,missing,present,hand_only,TRUE,TRUE,text,na
4,10_3389_fnut_2025_1574063,91,missing,present,hand_only,TRUE,TRUE,table,na
5,10_2106_jbjs_24_01601,94.8,missing,present,hand_only,TRUE,TRUE,table,na
6,10_2106_jbjs_24_01601,97.5,missing,present,hand_only,TRUE,TRUE,table,na
7,10_3390_jcm14165664,100,missing,present,hand_only,TRUE,TRUE,text,na
8,10_2106_jbjs_24_01601,92.9,missing,present,hand_only,TRUE,TRUE,table,na
9,10_1007_s00234-025-03732-9,63.5,missing,present,hand_only,TRUE,TRUE,table,na
10,10_1002_jper_70032,80.3,missing,present,hand_only,TRUE,TRUE,table,na
11,10_3389_fnagi_2025_1582687,72.4,missing,present,hand_only,TRUE,TRUE,table,na
12,10_3389_fendo_2025_1518764,59.6,missing,present,hand_only,TRUE,TRUE,table,na
13,10_3389_fnut_2025_1574063,96,missing,present,hand_only,TRUE,TRUE,table,na
14,10_1002_lary_70332,72,missing,present,hand_only,TRUE,TRUE,table,na
15,10_2106_jbjs_24_01601,84.6,missing,present,hand_only,TRUE,TRUE,table,na
16,10_1002_jmri_70205,70.4,missing,present,hand_only,TRUE,TRUE,table,na
17,10_3389_fmed_2025_1615136,61.54,missing,present,hand_only,TRUE,TRUE,text,na
18,10_2106_jbjs_24_01601,98.8,missing,present,hand_only,TRUE,TRUE,table,na
19,10_2106_jbjs_24_01601,100,missing,present,hand_only,TRUE,TRUE,table,na
20,10_2106_jbjs_24_01601,96.1,missing,present,hand_only,TRUE,TRUE,table,na
21,10_1007_s00234-025-03732-9,100,missing,present,hand_only,TRUE,TRUE,table,na
22,10_1016_j_ijmedinf_2025_105901,82.4,missing,present,hand_only,TRUE,TRUE,table,na
23,10_1007_s00068-025-02793-y,0.9248,missing,present,hand_only,TRUE,TRUE,table,na
24,10_1002_lary_70332,66,missing,present,hand_only,TRUE,TRUE,table,na
25,10_2106_jbjs_24_01601,97.5,missing,present,hand_only,TRUE,TRUE,table,na
26,10_1002_hed_28189,0.6,missing,present,hand_only,TRUE,TRUE,table,na
27,10_3389_fnut_2025_1574063,84,missing,present,hand_only,TRUE,TRUE,table,na
28,10_3389_fpsyt_2025_1657696,49,missing,present,hand_only,TRUE,TRUE,text,na
